Title,Method,Product Type,Population,Measurements Used,Study Design,Key Findings,Year,Journal Source,Quality Level
A New Automatic Process Based on Generative Design for CAD Modeling and Manufacturing of Customized Orthosis,"Photogrammetry using a smartphone camera for 3D acquisition, reconstruction with Agisoft Metashape, automatic generative-design CAD modeling (Grasshopper/Rhinoceros), and fabrication via FDM 3D printing; clinician/patient usability testing",Customized wrist orthosis (orthotic device),Case study of at least one patient (approx. 130 photos of the patient's wrist); clinician evaluation by orthopedist. No formal sample size or age range reported,"3D surface geometry from photogrammetry capturing wrist/hand shape; derived dimensions (wrist width, finger length/width, palm size); boundary landmarks defined interactively on the 3D mesh","Case study / methods development with prototype evaluation (observational, design-methods study)","Generative-design pipeline using smartphone photogrammetry produced clinically usable wrist orthosis prototypes; method is user-friendly for non-experts and reduces need for specialized technicians, but limited clinical testing and unknown accuracy metrics were noted",2024,Applied Sciences (Appl. Sci.),Low — single case-study / prototype evaluation with limited clinical testing and no reported quantitative accuracy or larger sample validation
Standard Guide for Assessing Fit Accommodation of Exoskeletons for Manufacturers and Designers,"Provides recommendations to use anthropometric databases matched to target populations, distinguish static vs dynamic fit, and assess accommodation rates using population percentiles and ROM evaluations",Exoskeletons,Intended user population for exoskeletons; recommends matching anthropometric datasets to the target population (no specific sample size given),Body size and shape measures; example: shoulder breadth in standardized postures; use of anthropometric database dimensions and ROM-related clearances,Standards/guide document (consensus standard) rather than primary experimental study,"Provides design guidance: use appropriate anthropometric databases, estimate accommodation rates, consider subgroup disaccommodation, provide sizing and adjustment criteria, and evaluate static and dynamic fit to inform design and user instructions",2024,ASTM International standard F3661-24 (DOI: 10.1520/F3661-24),Moderate — consensus standard providing best-practice recommendations; not primary empirical study (no sample size)
Customized Orthosis Design Based on Surface Reconstruction from 3D-Scanned Points,"Develops and applies a 3D scan-based surface reconstruction pipeline: point-cloud acquisition (laser/structured-light scanners) and preprocessing, iterative B-Spline curve approximation and B-Spline surface interpolation, and optimization using the Levenberg–Marquardt algorithm to minimize reconstruction error",Orthotic device (customized orthosis for finger and foot parts),"Two scanned human body parts (finger and foot); specific sample size, age range, and participant demographics not mentioned in source",3D point-cloud coordinates from laser/structured-light scans; derived geometric landmarks and planar cross-sections used to approximate B‑Spline curves and surfaces; reconstruction quality quantified by MRMS/RMS error metrics,Method development with numerical experiments and two case studies (observational/technical case study),"Proposed B‑Spline curve–based reconstruction yields lower reconstruction errors than a prior method and produces accurate surfaces suitable for rapid prototyping of customized orthoses, improving fit and potential patient comfort",2024,Applied Sciences (MDPI),"Moderate: technical methods and quantitative error metrics with two case studies support validity, but limited sample size and lack of clinical/real-user trials reduce evidence strength"
A Review on 3D Scanners Studies for Producing Customized Orthoses,"Review of non‑radiative 3D digitization methods for anthropometry: laser scanning, structured light, photogrammetry, and optical scanners; data processing into CAD/mesh, reverse engineering workflows, and additive manufacturing (3D printing) for producing custom orthoses","Custom orthoses (foot orthoses, ankle-foot orthoses, spinal orthosis examples discussed)",Varied across included studies; review included human participants in orthotics studies (examples include single-subject AFO studies and clinical users of AFO/FO); specific sample sizes and age ranges are reported per included study in the review rather than as a unified sample in this paper,3D point clouds and meshes derived from optical triangulation (surface geometry capture); mesh/mesh processing in CAD for dimensional measurements and model adjustment (no specific anatomical landmark list provided),Systematic review of studies using 3D scanners for custom orthoses (PRISMA-guided),"Photogrammetry highlighted as most suitable for human limb acquisition; 3D scanning+AM enables accurate geometry and improved user satisfaction vs plaster casting; trade-offs include processing time, cost and training barriers for clinical adoption",2024,Sensors (MDPI),Moderate — systematic review methodology (PRISMA) synthesizing 20 included studies; quality depends on heterogenous small‑sample primary studies noted by authors
Anatomical-Based Customized Cervical Orthosis Design in Automation,"Methods include surface 3D scanning using a handheld scanner (Go!Scan 50) to capture neck geometry, automatic anatomical feature identification via a pre-set 12-point template with bipartite graph matching and the Hungarian algorithm for feature matching after distance normalization, template normalization/denormalization and coordinate transforms (Cartesian⇔ cylindrical) to map templates to individual scans and generate centerlines and coverage regions for orthosis geometry, procedural mesh operations (offsetting, Laplacian smoothing, Boolean ops) to create inner/outer layers and allowances, and application of finite element analysis (ANSYS) to assess structural strength and determine minimum thickness requirements.",Cervical orthosis (custom 3D-printed two-piece rigid neck orthosis),Not clearly specified sample demographics; study used scanning procedures on subjects (scanning protocol described) and finite element analysis based on one subject model.,"Used 3D surface geometry with 0.5 mm resolution and a set of 12 anatomical landmark features (chin, mandibular angles, side neck points, clavicles, sternum, external occipital protuberance, mastoid processes, C7 spinous process) as measurement anchors; coordinate systems and centerlines extracted from scan mesh for dimensional offsets and allowances","Design and methods paper with computational development, case-based prototyping and simulation (automated design workflow description + FEA on one-subject model) — observational/development study rather than large-scale experimental trial.","Key findings: automated CAD workflow using 3D scans and anatomical-template matching can generate customized cervical orthoses; FEA indicates minimum PLA thickness of ~5 mm for safety at 20% infill; software embeds anatomical landmarks and allowances to improve fit, ventilation and comfort and reduce manual design effort",2024,Applied Sciences (MDPI),"Moderate-to-low: development and simulation study with detailed methods but limited validation (FEA based on one-subject model, no clinical trial or large sample)."
Insights into the spectrum of transtibial prosthetic socket design from expert clinicians and their digital records,"Analysis of 3D residual limb and CAD/CAM socket surface meshes from paired scans; alignment using ampscan toolbox and iterative closest point (ICP); manual identification of rectification clusters and quantification of carve/build depths; statistical analyses including Spearman correlations, linear regression, kernel density estimation (KDE) and Gaussian Naïve Bayes classification to interpret associations and predict design patterns",Transtibial prosthetic sockets (prosthetic limb sockets),"134 individuals (163 sockets), 36 female and 97 male; mean age 58.6 years (range 19.6–94.1); sockets fitted between Nov 2018 and Nov 2022","Local rectification sizes measured as depth of carve or height of build-up between limb and socket surfaces; volume reduction (VR) computed from mean cross-sectional area differences at 10 sections between mid-patella tendon and distal tibia; use of landmarks (mid-patella, distal tibia) and principal axis for alignment; 3D mesh vertex-based metrics (98th percentile deviation)",Observational cohort study (retrospective analysis of CAD/CAM and 3D scan records),"PTB sockets tended to have larger local rectifications while TSB sockets had greater gross volume reduction; socket designs exist on a PTB–TSB spectrum with many hybrids; significant correlations and probabilistic associations between certain rectification sizes (e.g., medial and lateral paratibial carves) were identified; Naïve Bayes models can predict likely rectification combinations and could inform CAD/CAM design templates to support clinician decision-making",2024,Frontiers in Rehabilitation Sciences (doi:10.3389/fresc.2024.1354069),"Moderate — observational cohort with a relatively large sample of 163 sockets/134 individuals and robust quantitative methods, but limited by retrospective CAD/CAM-only data, lack of soft-tissue palpation data and restricted generalisability"
Current Issues Related to Anthropometry in Engineering,"Reports manual anthropometry (anthrometer, sliding caliper, measuring tape) and body weight scales for dimensional measures, 3D scanning and 3D-model augmentation for detailed shape (pinnae/HRTF), low-cost depth cameras (Kinect) as alternatives, and force-plate-based measures to estimate segment masses and torso COM","Head-worn devices and wearables (including HRTF-related designs), hand-related products/tools, protective/sports/orthopaedic devices, and garment sizing implications",Not mentioned in source.,"Hand dimensions (length, width, depth), waist and hip circumferences, pinnae anatomical dimensions, small-segment widths/depths (hands/feet), and segment masses/torso COM estimates from force-plate data",Review article,"Anthropometry-informed design improves product fit, comfort, and sustainability; conventional manual and some 3D methods have cost/efficiency limits; 3D models improve accuracy for complex shapes (pinnae); and up-to-date, population-specific reference data are necessary for effective ergonomic design",2024,Malaysian Journal of Engineering Research (source PDF),Moderate (review article summarising methods and issues; no primary experimental sample reported)
Shape Analysis of Prosthetic Socket Rectification Procedure for Transtibial Amputees,"High-accuracy 3D surface scanning (EinScan Pro laser scanner) combined with an open-source shape analysis toolbox (AmpScan) including ICP alignment and cross-sectional slicing for extraction of geometric measures; post-processing and MATLAB analysis of extracted metrics (volume, perimeter, sagittal/coronal widths)",Prosthetic socket for transtibial (below-knee) prosthesis,44 transtibial residual limb casts (participants recruited from a single prosthetic facility in India); specific age range not mentioned in source,"Geometric measures extracted: volume, perimeter, cross-sectional area, sagittal and coronal widths; 2 mm axial slicing; alignment to mid-patella reference; use of surface meshes (.stl)",Observational analytical study of paired unrectified and rectified casts using 3D scans (cross-sectional observational study with quantitative shape analysis),"Rectification is concentrated at mid-patella and distal regions (notably 0-25% and distal end), with a mean local volume change ~6.02% (mid-patella to 25%); consistent sagittal-plane modifications; identification of five patient groups based on rectification patterns; results support creating data-driven socket design templates and training resources for clinicians",2024,MDPI journal (article PDF URL indicates MDPI publication) — full journal name not explicitly stated in source text.,"Moderate — observational study with a modest sample size (44 casts), validated scanning protocol, quantitative analysis but limited generalisability per authors' own limitations"
THE PRODUCTION OF HYBRID PROSTHETIC SOCKETS THROUGH THE INTEGRATION OF 3D PRINTING AND CONVENTIONAL LAMINATION,"3D scanning of the residual limb using a structured-light scanner and orientation marks, CAD-based digital modification of the stump model, and additive manufacturing (FFF 3D printing of a PETG socket matrix) combined with conventional lamination (resin-saturated fabrics and silicone filling) for hybrid socket fabrication",Transtibial (below-knee) prosthetic socket,"Single-subject pilot (one 45-year-old male, transtibial/amputated below-knee, weight 65 kg, K-level/Functional Classification Level 4)","3D scan-derived spatial resolution and depth parameters (resolution x/y 0.9 mm, depth resolution 1 mm) and landmark-based digital modifications: measurements and offsets relative to tibial condyles, distal end (e.g., 20 mm from distal end), added/removed mass in mm at specified regions for relief and pressure distribution (e.g., 2–4 mm modifications)",Pilot single-subject case study (experimental prototyping and mechanical testing),The hybrid 3D-printed PETG matrix with laminated outer layer maintained structural integrity under static and dynamic tests (no deviations at walking speeds tested) and was rated more comfortable by the user; hybrid design resisted failure modes seen in purely FFF sockets (supracondylar failures),2024,Civil and Technical Journal (DOI: https://doi.org/10.14311/ctj.2024.2.03),Low (single-subject pilot study with limited generalizability)
Techniques for Measuring the Fluctuation of Residual Lower Limb Volume in Clinical Practices: A Systematic Review of the Past Four Decades,"Systematic review of measurement methods including: water displacement, anthropometric circumference measurements using frustum/cylinder calculations, contact probes, optical/laser 3D scanning (silhouetting, fringe projection, handheld laser scanners), imaging modalities (SXCT, MRI, ultrasound) and bioimpedance (multifrequency electrode-based impedance to estimate extracellular fluid volume).",Residual lower-limb prosthetic sockets (transtibial and transfemoral contexts),Individuals with lower-limb amputation; majority of source studies involve transtibial amputees (36 studies) and fewer transfemoral (5 studies); some studies used able-bodied or model limbs.,Segmental circumferences (tape measures) converted to volume via frustum/cylinder formulas; radial surface geometry and volumes from optical/laser 3D scans; in-socket extracellular fluid/volume changes from multifrequency bioimpedance with electrode placements.,"Systematic review of the literature covering 1975–2022; synthesized 39 peer-reviewed studies of varied designs (validation studies, reliability/test-retest studies, observational/experimental comparisons).",Anthropometry (circumference) is simple and clinic-friendly but poorly correlates with true volume changes; laser/optical 3D scanning provides high-precision surface geometry suitable for digital socket design and shows good reliability/validity in several studies; bioimpedance is highly sensitive for real-time in-socket volume fluctuation measurement but mostly validated for transtibial limbs and measures change rather than absolute volume. Recommendations: choose technique based on clinical phase and aim (anthropometry for early macroscopic monitoring; scanning/imaging for volumetric accuracy; bioimpedance/SXCT for sensitive change detection).,2024,Applied Sciences (MDPI),"Overall review-rated source studies as: 22 high-quality, 14 moderate-quality, 3 low-quality (the review used a 13-item adapted QUADAS-2 based quality scale)"
A high precision laser scanning system for measuring shape and volume of transtibial amputee residual limbs: Design and validation,Uses an automated laser-line 3D scanning system (Micro-Epsilon scanCONTROL 2500-100) combined with a two-camera motion-capture based motion correction; automated linear and rotary stages to translate/rotate the scanner for repeatable scans,Transtibial prosthetic socket/residual limb measurement (prosthetic limb design implications),Validation on a single unilateral transtibial amputee (60-year-old male); sample size = 1 (plus validation on geometric cylinder model),"Laser-line distance profiles (32 Hz, 640 points per line) to capture surface geometry; marker-based motion tracking (6-mm dots) for motion correction; derived cross-sectional diameters, surface area, and volume from meshed point clouds",Experimental validation study (system development and validation using physical cylinder model and single-subject human testing),The scanner achieved high spatial and volumetric accuracy (mean volumetric error 0.17% static; cylinder and human scans with low TEM and high ICC); motion-correction reduced dynamic scan errors; demonstrated repeatable residual limb volume measures and detection of short-term volume change (~4% increase after standing),2024,PLOS ONE (article PDF hosted at journals.plos.org),"Moderate — high technical validation on models (low measurement error, strong reliability metrics), but limited human sample size (n=1) reduces generalizability"
A scoping review of digital fabrication techniques applied to prosthetics and orthotics: part 1 prostheses,"Scoping review extracting methods across studies, focusing on digital anthropometry workflows: digital scanning of residual limbs, CAD-based modeling and rectification, and additive manufacture (CAD/CAM and AM) stages; systematic literature search and data extraction into tabulated fields including workflows and TRL","Prosthetic devices: lower-limb prosthetic sockets, prosthetic feet, upper-limb prosthetic hands and fingers",Not mentioned in source.,"Residual limb dimensions (manual measurements and 3D scanning), anatomical scans used for CAD rectification; measurement techniques summarized as manual measurement, 3D scanning within AnatCADAM workflows","Scoping review (literature review) synthesizing peer-reviewed studies up to July 28, 2021","Many studies use CAD/CAM or AnatCADAM workflows (3D scanning→CAD rectification→AM) but often lack documentation of postprocessing and rectification; evidence gaps include few long-term, large-scale trials and limited reporting on training and modification practices, limiting design translation",2024,Prosthetics and Orthotics International,Moderate (scoping review summarizing mostly low-to-moderate quality primary studies concentrated at TRL 3–4 with few higher-TRL trials)
A scoping review of digital fabrication techniques applied to orthosis fabrication,"Scoping review extracting methods across studies, including digital anatomical capture (3D scanning), manual measurements, CAD-based rectification (including clinically informed CAD), finite element analysis for design optimization, pressure mapping and gait analysis for evaluation, and various additive manufacturing/CAD-CAM fabrication workflows","Orthoses (lower-limb orthoses: insoles, AFOs; upper-limb orthoses: wrist/hand orthoses and casts; spinal orthoses: TLSOs/collars)",Not mentioned in source.,"Common measurements and techniques reported across included studies include plantar pressure mapping, CT-based geometry for FEA, 3D surface scans of anatomical regions, and standard clinical metrics for scoliosis such as Cobb angle, apical vertebral rotation and trunk listing","Scoping review of original research comprising experimental trials, randomized controlled trials, observational cohort studies, case studies, and technical evaluations (mixed study designs)","Digital workflows (3D scanning + CAD rectification + AM/CAM) are increasingly used; strong evidence supports CAD/CAM for spinal braces and insoles, but gaps include limited long-term on-patient evaluation for many device types, incomplete reporting of rectification steps, and variability in materials and durability affecting fit and comfort recommendations",2024,Prosthetics and Orthotics International,"Mixed: high-moderate for CAD/CAM in spinal orthotics and insoles (several RCTs and large cohort studies), but overall evidence is variable with many small, early-stage studies limiting generalizability"
Utilizing Additive Manufacturing for Economical Prosthetic Limb Prototyping: A Guide from Regression Modelling,"Manual anthropometric measurement (flexible measuring tape for ASIS to medial malleolus and acromion to olecranon) on 250 participants, statistical analysis with descriptive statistics and multivariate regression modelling to produce predictive equations, and CAD-based 3D prosthesis prototyping using SolidWorks for additive manufacturing",Lower-limb prosthetic (below-knee prosthetic) prototype intended for prosthetic limb design and additive manufacturing,"250 healthy young adults (male and female), ages 22–35 years","Linear segment measurements: total leg length (ASIS to medial malleolus) and elbow/upper arm length (acromion to olecranon) measured with flexible tape; RLL, LLL, REL, LEL recorded in cm",Observational descriptive study with multivariate regression modelling to develop predictive equations for limb length,"Developed a multivariate regression model with very high predictive accuracy (r=0.993, r²=0.986) allowing estimation of right leg length from left leg and elbow lengths; derived equation (RLL = 2.253 + 0.959 LLL + 0.054 LEL) and demonstrated translation to a 3D-printed lower-limb prosthetic prototype, recommending further validation across diverse populations",2024,Semantic Scholar entry for the article (full journal name not provided in source),"Moderate quality: reasonable sample size (n=250) and clear methods with regression validation, but limited by single-population sampling (healthy young adults, Nigeria) and no clinical testing on amputee users"
