Title,Authors,Year,Publication Venue,Paper Type,Domain,Conceptual Framework,Key Methods,Human Ai Role,Accessibility
Integrating Artificial Intelligence into the Shoe Design Process,P. Minaoglou; A. Tzotzis; N. Efkolidis; P. Kyratsis,2024,Not mentioned in source.,Methods/Framework,Product Design,"Proposes a design framework combining AI digital applications with designer expertise, integrating AI across stages: mind mapping, digital sketches, CAD, rendering, and prototyping",AI digital applications integrated across design stages; CAD and digital sketching tools; additive manufacturing for prototyping,AI augments and supports designer creativity; combines AI applications with designer expertise (Human-in-the-loop),Not specified
Algorithmic Framework for Design Thinking : Enhancing Innovation in Complex Problem Spaces,Jose Miguel Penalva Tebar; Ken Nah,2024,Not mentioned in source.,Methods/Framework,General Design,"Proposes combining Design Thinking with AI, conceptualizing design as a human-machine algorithmic system and viewing design as a stochastic process navigating high-dimensional state spaces.","Probabilistic algorithms, stochastic exploration, and AI-assisted iterative refinement integrating Design Thinking and AI.","Human-machine collaboration: humans provide intuition and creative direction while AI performs computational exploration and refinement (Human-in-the-loop; AI generates candidates, humans guide selection).",Not specified
Enhancing Product Designing with the Help of Artificial Intelligence,Dhyeykumar Nikalwala; Minnie H. Patel,2024,Not mentioned in source.,Methods/Framework,Product Design,Proposes a customer-centric AI integration framework for product design and implements it to iteratively design three products,AI-enabled content generation from existing data; framework implementation (specific AI methods not detailed in source),Human-in-the-loop: AI generates ideas/content while humans apply the framework and iterate; implementation highlights human-AI collaboration and practical challenges,Not specified
Machine Learning Algorithms for Improved Product Design User Experience,Xueli Wang; Bo Hu,2024,Not mentioned in source.,Methods/Framework,Product Design,"A novel hybrid framework combining Particle Swarm Optimization (PSO) and Deep Reinforcement Learning (DRL) integrated with predictive modeling, clustering, and recommendation systems to optimize product design and incorporate real-time feedback for continuous refinement",Particle Swarm Optimization (PSO); Deep Reinforcement Learning (DRL); neural networks; decision trees; support vector machines; predictive modeling; clustering; recommendation systems,"AI assists design by generating optimized design candidates and adaptive suggestions; human designers use insights to select and refine designs (AI generates, human selects / Human-in-the-loop)",Not mentioned in source.
Towards machine learned generative design,Luka Gradišar; M. Dolenc; Robert Klinc,2024,Not mentioned in source.,Methods/Framework,Engineering Design,Machine learned generative design addressing interoperability limitations by using ML-based surrogate models to replicate design evaluations and integrate them into a common environment,Generative design; machine learning-based surrogate models; design optimisation; surrogate-assisted evaluation; computational modelling,AI generates and evaluates design alternatives via surrogate models; human selects and interprets results (Human-in-the-loop),Not specified
Integrating generative design and topology optimisation with product design values,A. Nemme; Roderick Walden,2022,"The Technology, Environmental, Mathematics and Science (TEMS) Education Research Centre journal (AJTE) / Australasian Journal of Technology Education?",Case Study,Product Design,Proposes an integrated design practice that values iterative 'making' and synthesises generative design and topology optimisation within product design education; discusses frameworks for integrating GD/TO into curriculum and practice,Generative design; topology optimisation; finite element analysis (FEA); Autodesk Fusion 360; additive manufacturing (3D printing); iterative prototyping,"AI/tools generate multiple design alternatives and perform topology optimisation; humans select, interpret, refine and apply stylistic/design judgement (AI generates, human selects/refines)",Open Access (PDF available at provided URL)
Advances in AI-Based Optimization for Multiphysics Fluid Dynamics in Product Design Engineering,Musa Adekunle Adewoyin; Enoch Oluwadunmininu Ogunnowo; Joyce Efekpogua Fiemotongha; Thompson Odion Igunma; Adeniyi K. Adeleke,2024,IJSRST / Open Access Research Journals (online); URL: https://www.ijsrst.com/index.php/home/article/download/IJSRST251222713/IJSRST251222713,Review (systematic review using PRISMA),Product Design Engineering,Discusses PRISMA-based systematic review and proposes a conceptual paradigm of hybrid approaches combining physics-informed neural networks (PINNs) with CFD solvers,Machine learning; deep learning; surrogate modeling; reinforcement learning; physics-informed neural networks (PINNs); CFD integration; uncertainty quantification; design space exploration,"AI-driven optimization and surrogate modeling assist engineers by accelerating simulations and enabling rapid design iteration; human-in-the-loop for selection and interpretation, with AI supporting decision-making",Open Access (PDF available via journal site)
"Design Intelligence - AI and Design Process Modules to Foster Collaboration Between Design, Data (Science) and Business Experts",Jennifer Moosbrugger,2023,Not mentioned in source.,"Methods/Framework (proposes a process framework of 7 modules with related activities, flow and dependencies)",General Design (focus on collaboration between designers and data scientists),"Proposes a process framework of 7 modules with related activities, flow and dependencies to align processes and terminology between designers and data scientists","AI, Machine Learning, Deep Learning; process-framework emphasis rather than specific algorithms (framework supports AI/ML/DL collaboration)","Focus on human collaboration: aligning designers, data scientists, and business experts to foster cooperative creativity (human-in-the-loop / collaborative design)",Not specified
Review of artificial intelligence applications in engineering design perspective,N. Yüksel; H. R. Börklü; H. K. Sezer; O. Canyurt,2023,Not mentioned in source.,Review,Engineering Design,"Categorizes AI-powered design studies across design stages (inspiration, idea/concept generation, evaluation, optimization, decision-making, modelling); highlights increasing interest in data-based methods and Explainable AI (XAI)","Machine learning (including deep learning), genetic algorithms, fuzzy logic, and combinations of AI methods; discusses Explainable AI (XAI)","AI augments human designers across stages (generation, evaluation, optimization, decision-making) to handle complexity and ambiguity; humans remain responsible for method selection and interpretation",Not specified
Mapping artificial intelligence-based methods to engineering design stages: a focused literature review,P. Khanolkar; Ademir Vrolijk; A. Olechowski,2023,"Artificial Intelligence for Engineering Design, Analysis and Manufacturing (journal)",Review,Engineering Design,"Stage-by-stage mapping of AI methods to five engineering design stages (Problem Definition, Conceptual Design, Preliminary Design, Detailed Design, Design Communication) based on a review of 108 papers; categorization into seven AI method types and analysis of roles/support in each stage","Agent-based modeling; Deep learning (including GANs, autoencoders); Machine learning (classical ML); Natural Language Processing (NLP); Network/Graph theory; Probabilistic methods; Optimization algorithms (genetic algorithms, Bayesian optimization, topology optimization)","AI primarily used to synthesize/analyze/generate design data and assist designers (AI generates, human selects/decides); human-in-the-loop augmentation rather than full automation",Not specified
Artificial intelligence (AI) for user experience (UX) design: a systematic literature review and future research agenda,Åsne Stige; E. Zamani; Patrick Mikalef; Yuzhen Zhu,2023,Not mentioned in source.,Review (Systematic literature review),User Experience / UX Design (General Design),"Synthesizes findings using a User-Centred Design framework, mapping AI uses to stages: context of use, requirements analysis, solution design, design evaluation, and development","Machine learning (traditional ML), neural networks and deep learning (including CNNs), computer vision for GUI/component detection, recommendation models; uses a concept matrix for synthesis","Human-in-the-loop / symbiotic human–AI collaboration where AI automates repetitive tasks or generates suggestions and designers select, refine and remain in control",PDF available in institutional repository (appears accessible)
Machine Learning and Optimization for Engineering Design,Not mentioned in source.,2023,Not mentioned in source.,Not mentioned in source.,Engineering Design,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
"Human-AI Co-Design and Co-Creation: A Review of Emerging Approaches, Challenges, and Future Directions",Nyasha Kadenhe; Mohamed Al Musleh; Allan Lompot,2025,AAAI Spring Symposium Series (AAAI-SS) or related AAAI workshop proceedings,Review,General Design / Product Design,"Discusses mixed-initiative systems, Human-Centred AI (HCAI), CHAI-T framework, and mapping AI-based Design Support Systems to the Double Diamond model","Generative AI, mixed-initiative systems, explainable AI (XAI), deep learning, large language models (e.g., ChatGPT), text-to-image generators, and AI-based design support systems","Co-creation with AI as an augmenting, adaptive assistant (AI generates/assists; humans select and refine) using mixed-initiative and human-in-the-loop models",Open Access (PDF available from AAAI-SS site)
AI in design idea development: A workshop on creativity and human-AI collaboration,Fabio Antonio Figoli; Francesca Mattioli; Lucia Rampino,2022,Design Research Society DRS 2022 Conference Papers (proceedings),Case Study,Product/Industrial Design,"Mixed-initiative co-creativity; AI>Human rule; 'designer arbiter' role; categorisation of AI tools into five groups (image generators, sketching assistants, model generators/modifiers, facilitators, concept evaluators)","Human-AI collaboration workshop using Google, Sketch-rnn, and Coolors; qualitative analysis of pre/post workshop surveys, workshop outcomes, and focus group discussion",AI as 'bossy groupmate' in continuous collaboration vs 'external expert' in delayed collaboration; designer acts as 'arbiter' evaluating AI outputs,Open access (PDF available via Design Research Society repository)
"Understanding User Perceptions, Collaborative Experience and User Engagement in Different Human-AI Interaction Designs for Co-Creative Systems",Jeba Rezwana; M. Maher,2022,arXiv (preprint) — https://arxiv.org/pdf/2204.13217,Empirical Study,General Design (Human-AI co-creativity) / Product Design (sketch-based ideation),"Investigates interaction design in human-AI co-creativity, comparing AI-to-human two-way communication versus human-to-AI only; builds on co-creative systems and communication/co-presence theories","Within-subjects user study, Wizard-of-Oz prototypes, Creativity Support Index (CSI) survey, semi-structured interviews with thematic analysis, and statistical tests (t-tests, ANOVA)","Human-in-the-loop co-creative partner: AI generates sketch inspirations and, in the two-way design, communicates and collects feedback while humans sketch and select/steer the AI contributions",Open Access (arXiv preprint PDF available)
Too Late to be Creative? AI-Empowered Tools in Creative Processes,A. Hwang,2022,CHI '22 (conference paper),Case Study,General Design / Creativity Support,"Classifies AI co-creative tools into four types (Editors, Blenders, Transformers, Generators) and maps their functions to four stages of the creative process (Q&A, Wandering, Hands-On, Camera-Ready); also performs a SWOT analysis of the tool landscape","Product survey/analysis of 42 AI tools, literature review in creativity and HCI, categorization framework, and qualitative SWOT analysis","Describes varying human-AI roles by tool type: Editors/Transformers are human-led (AI facilitates execution), Blenders/Generators introduce ideas with Generators being more autonomous; recommends user-controlled role assignment and human-in-the-loop/co-creative paradigms",Appears open access via CHI proceedings / Semantic Scholar (full text retrieved)
Exploring Generative Design Thinking for Engineering Design and Design Education,Xingang Li; H. Demirel; M. Goldstein; Zhenghui Sha,2021,American Society for Engineering Education (ASEE) Conference Proceedings (peer.asee.org),Methods/Framework,Engineering Design,"Proposes the Evolving Design Thinking (EDT) model with three dimensions: technology, evolving design thinking, and human cognitive competencies (e.g., computational thinking and engineering systems thinking)",Generative design (GD); discussion of parametric design (PD); computational methods and algorithms referenced (no specific algorithms empirically applied),"Human-in-the-loop: AI/algorithms generate design options while designers set parameters/constraints, evaluate trade-offs, and apply aesthetic judgment",Open access (PDF available from ASEE peer repository)
A Framework to Study Human-AI Collaborative Design Space Exploration,Antoni Virós-i-Martin; Daniel Selva,2021,(not specified in input) Semantic Scholar entry; likely conference or workshop paper,Methods/Framework,Engineering Design / General Design (Tradespace Exploration for complex systems),"Proposes an explanatory framework for human–AI collaborative Design Space Exploration where the human designer and a cognitive assistant are modeled as intelligent agents with internal state, knowledge (domain, process, problem-specific), hierarchical goals (design and learning), and long-term attributes; emphasizes common ground and defines CA roles (Historian, Analyst, Explorer, Expert, Critic)","Design Space Exploration / Tradespace Exploration; search and optimization strategies; knowledge graphs for knowledge representation; NLP, machine learning and reasoning chains as potential CA implementations","Human and AI modelled as collaborative intelligent agents; CA plays roles such as Historian, Analyst, Explorer, Expert, Critic; interaction is human-in-the-loop with AI generating/suggesting designs, analyzing/criticizing, and humans selecting/setting goals",Not specified
Artificial Intelligence Tools for Better Use of Axiomatic Design,H. Akay; Sang-Gook Kim,2021,Not mentioned in source.,Methods/Framework,Engineering Design / Product Design,"Applies Axiomatic Design (AD) combined with AI-based NLP to formalize design knowledge representation and enable a virtual design assistant that automates FR extraction, recursive AD decomposition, and quantitative measurement of functional coupling","Natural Language Processing (BERT fine-tuned for question-answering), vector embeddings for FR/DP representations, semantic similarity (cosine similarity), deep learning, and AD coupling metrics Reangularity (R) and Semiangularity (S)",Human-AI hybrid: AI automates extraction and evaluation (virtual design assistant) while humans provide oversight and interpretation (Human-in-the-loop / AI assists decision-making),Not explicitly stated; full text provided but open access status unclear
A Conceptual Framework for AI-Enhanced 3D Printing in Architectural Component Design,A. Bankole; Zamathula Queen Sikhakhane Nwokediegwu; Sidney Eronmonsele Okiye,2021,Multidisciplinary Frontiers (conference/journal),Review,Architectural Design,"Proposes a layered, closed-loop framework integrating AI-driven generative design, machine learning, evolutionary algorithms, real-time sensor feedback, and interoperability with 3D printing hardware to enable adaptive fabrication, performance optimization, and mass-customization of architectural components","Generative design; machine learning (neural networks, transformer-based prediction); evolutionary algorithms; topology optimization; predictive analytics; sensor-based real-time process control; digital twins; multi-objective optimization","Human-in-the-loop: AI generates and optimizes design options, provides adaptive fabrication controls and predictions; designers evaluate, select, and guide AI outputs; human oversight for deployment and regulatory decisions",Open Access (PDF available at provided URL)
Innovation and Design in the Age of Artificial Intelligence,R. Verganti; Luca Vendraminelli; M. Iansiti,2020,Journal of Product Innovation Management (Wiley),Methods/Framework,Design / Innovation Management (General Design / Product Design),"Framework contrasting traditional human-intensive design with AI-enabled ""problem-solving loops"" (AI factories); two levels of analysis: design practice and design principles; emphasis on shift from human problem-solving to human sensemaking/problem-finding","Discussion and analysis of AI methods used in practice: supervised learning, unsupervised learning, reinforcement learning (including multi-armed bandits); generative/automated design loops, data-driven personalization; case-study analyses (Netflix, Airbnb, Tesla, Microsoft)","Human-in-the-loop: humans design problem-solving loops, set objectives and frame problems (sensemaking/problem-finding); AI automates detailed problem-solving and personalization (AI generates solutions; humans oversee and select)",Not specified
Bridging Nature-Art-Engineering with Generative Design,Duško Radaković,2020,Not mentioned in source.,Review,Product Design,"Discusses bridging nature, art, and engineering using generative design concepts such as biomimicry, morphogenesis, and topological optimization; presents technical considerations for applying algorithms to form, structure, and function",Generative design; topology optimization; morphogenesis; biomimicry; nature-inspired algorithms,AI generates multiple alternative designs to assist designers and engineers; humans select and refine (AI assists decision-making / Human-in-the-loop),Not specified
Deep Learning for Automated Product Design,Carmen Krahe; Antonio Bräunche; Alexander Jacob; N. Stricker; G. Lanza,2020,Not mentioned in source.,Methods/Framework,Product Design,"Uses a deep autoencoder to encode point clouds into latent representations and introduces a conditional Generative Adversarial Network operating in latent space for class-, characteristic- and dimension-conditioned object generation",Deep Learning; Autoencoder networks; Point Cloud representations; conditional Generative Adversarial Network in latent space; latent space manipulation; quantitative evaluation against specifications,"AI generates design proposals from learned latent representations; humans (designers) review, select and adapt generated objects — 'AI generates, human selects' (human-in-the-loop)",Not specified
"A review of design intelligence: progress, problems, and challenges",Yongmao Tang; Jiang-jie Huang; M. Yao; Jia Wei; Wei Li; Yongxing He; Zejian Li,2019,Not mentioned in source.,Review,General Design,"Summarizes an emerging framework of design intelligence covering user needs analysis, ideation, content generation, and design evaluation",Intelligence-generated content models and methods; user needs analysis; ideation techniques; design evaluation methods,"AI supports creativity and content generation; review discusses human-AI roles generally (e.g., AI-generated content with human oversight/evaluation)",Not specified
Ethical Framework for Designing Autonomous Intelligent Systems,J. Leikas; R. Koivisto; N. Gotcheva,2019,Not mentioned in source.,Review,General Design,"An ethical framework based on an iterative, multidisciplinary AIS design process and use of scenarios to capture stakeholders' qualitative information for systematic ethical analysis",Not mentioned in source.,Not mentioned in source.,Not specified
Computational Intelligence for Engineering Design Applications: A Case Study in Structural Engineering,A. Kamat; Amit V. Deokar,2019,Not mentioned in source.,Case Study,Engineering Design,Framework for applying computational intelligence techniques to ill-structured structural engineering design problems (presented as a design artifact),Computational intelligence techniques (unspecified in summary); applied to design and validated using experimental shear-failure data for reinforced concrete beams,"AI applied within a design framework and validated via case study, implying human oversight in validation (Human-in-the-loop)",Not specified
Special Issue: Machine Learning for Engineering Design,Jitesh H. Panchal; M. Fuge; Y. Liu; S. Missoum; Conrad S. Tucker,2019,Journal of Mechanical Design (ASME) - Special Issue,Review,Engineering Design,"Discusses unifying engineering knowledge with ML (physics-based models, ontologies, formal constraints) and argues for stronger coupling between design and physics; highlights multi-task interactions among Structure, Behavior, Function and embedding constraints into ML models","Supervised learning; Reinforcement Learning; Unsupervised methods (clustering, dimensionality reduction); Autoencoders/latent variable methods; generative models for optimization; physics-informed ML; topology/optimization approaches","AI assists optimization and generative design, often in human-in-the-loop or AI-assisted decision-making roles; recommends integrating human/designer behavior and preferences into ML models",Not specified
Design and Evaluation of Product Aesthetics: A Human-Machine Hybrid Approach,Alex Burnap; J. Hauser; Artem Timoshenko,2019,Not mentioned in source.,Methods/Framework,Product Design,Combines probabilistic variational autoencoder (VAE) with adversarial GAN components and managerial modeling assumptions to integrate machine predictions with human judgment for design evaluation,Variational Autoencoder (VAE); Generative Adversarial Network (GAN) components; supervised predictive modeling; generative design for controllable image synthesis,Human-machine hybrid: AI generates controllable design variants and predicts appeal to augment human judgment and assist decision-making (human-in-the-loop),Not specified
Topology Design With Conditional Generative Adversarial Networks,Conner Sharpe; C. Seepersad,2019,Not mentioned in source.,Methods/Framework,Engineering Design,"Uses conditional generative adversarial networks to create compact latent representations of topology-optimized structures; constraints and contextual factors (mass fraction, material type, load location) are specified as conditional inputs to guide generation",Conditional Generative Adversarial Networks (cGANs); deep convolutional neural networks; classical topology optimization used as training data,AI generates design candidates conditioned on problem constraints; engineers use the generated designs for concept exploration and selection (AI-assisted concept generation; human-in-the-loop),Not specified
"Automatically Generating 60,000 CAD Variants for Big Data Applications",Satchit Ramnath; Payam Haghighi; Ji Hoon Kim; D. Detwiler; M. Berry; J. Shah; Nikola Aulig; Patricia Wollstadt; Stefan Menzel,2019,Not mentioned in source.,Methods/Framework,Product Design / Automotive Engineering Design,"Proposes a hybrid workflow combining parametric/feature-based CAD, power copies, design tables/DOE, and macros to automatically generate large CAD datasets and link them to automated FEA for ML applications",Parametric/feature-based CAD; Power copies; Design tables/DOE; Macros/scripting for CAD automation; Automated FEA meshing and simulation; Data generation for ML including autoencoders and geometric deep learning,"Human-in-the-loop: humans define feature libraries, constraints and parameter ranges; automation generates variants; ML analyses datasets and suggests patterns/representations for designers",Not specified
The Chair Project: A Case-Study for using Generative Machine Learning as Automatism,Philipp Schmitt; S. Weiß,2018,Not mentioned in source.,Case Study,Product Design,Generative adversarial neural networks used as 'automatisms' to stimulate or augment designer imagination; GANs framed as generators of evocative visual prompts for the design process,"Generative Adversarial Networks (GANs); generative machine learning; workflow methods including sketching, 3D modeling, and physical prototyping","AI generates evocative visual prompts which humans use to create sketches, 3D models, and prototypes — 'AI generates, human selects' / Human-in-the-loop",Not specified
Design Automation by Integrating Generative Adversarial Networks and Topology Optimization,Sangeun Oh; Yongsu Jung; Ikjin Lee; Namwoo Kang,2018,Not mentioned in source.,Methods/Framework,Product Design,Proposes a design automation process that integrates Generative Adversarial Networks (GANs) with topology optimization to generate aesthetically and technically meaningful designs; demonstrated on automobile wheel design,Generative Adversarial Networks (GANs); Topology Optimization; Deep Learning,Full automation of design generation with minimal human intervention; designs can be automatically generated without human interventions,Not specified
