Role Concept,Title,Authors,Year,Source Journal Book,Paper Type,Key Frameworks Methods,Design Focus,Doi Link
Evaluating effectiveness of universal design (UD) outcomes in healthcare and other sectors by measuring performance and participation/inclusion,Developing Innovative Solutions for Universal Design in Healthcare and Other Sectors,Jonathan White; E. I. Mosca,2022,Not mentioned in source.,Review,"Reviews evaluations of UD tools including Design for All A.U.D.I.T. and isUD; describes a hierarchical UD quality framework (physical-spatial; sensorial-cognitive; social) derived from systematic review, workshops with users/experts, and hospital-setting analyses",Universal Design,Not mentioned in source.
Systematic review on how inaccessible urban public spaces affect mobility assistive device users; proposes human-centred approaches and discusses universal design benefits,Disabled-by-design: effects of inaccessible urban public spaces on users of mobility assistive devices,Efthimis Kapsalis; Nils Jaeger; Jonathan Hale,2022,Not mentioned in source.,Review,"PRISMA; Mixed Methods Appraisal Tool (MMAT); systematic search terms organized around review axes (MobAD, quality of life, physical elements)",Universal Design,https://nottingham-repository.worktribe.com/preview/13176533/Accepted%20Manuscript_KapsalisJaegerHale.pdf
"Participatory co-design (PCD) as a strategy to strengthen implementation, scale-up, spread, and sustainability of assistive technology with older adults","Supporting Healthy Aging through the Scale-Up, Spread, and Sustainability of Assistive Technology Implementation: A Rapid Realist Review of Participatory Co-Design for Assistive Technology with Older Adults",S. Carroll; K. Kobayashi; Matilde N. Cervantes; Shannon Freeman; Manik Saini; Shannon Tracey,2021,Journal article (SAGE Journals PDF available),Review,"NASSS (Non-Adoption, Scale-up, Spread, and Sustainability) framework; rapid realist review steps aligned with Saul et al. (2013) and Pawson et al. (2005); develops program theories of context–mechanism–outcome interactions",Co-design,https://doi.org/10.1177/23337214211023269
Participatory design (PD) techniques and challenges for technology design with autistic people and people with cognitive disabilities; emphasizes empowerment via participation,Participatory Technology Design for Autism and Cognitive Disabilities: A Narrative Overview of Issues and Techniques,Nigel Robb; Bryan Boyle; Yurgos Politis; N. Newbutt; H. Kuo; Connie Sung,2021,Not mentioned in source.,Review,Defines PD as user involvement in design/development; overview of PD techniques and challenges for novice PD researchers/designers,Participatory Design,Not mentioned in source.
Universal Design as an industrial design paradigm for health interventions for older adults; positions ID professionals as part of caregiving team,Universal Design as a Paradigm for Providing Health Interventions for Older Adults 1,Peter J. Snyder,2021,Not mentioned in source.,Theoretical,Frames Universal Design as an industrial design (ID) approach with inclusivity as hallmark characteristic,Universal Design,Not mentioned in source.
Critical reframing of (dis)ability in design using critical disability studies and universal/inclusive design perspectives,Refactoring design to reframe (dis)ability,E. Churchill,2021,Not mentioned in source.,Theoretical,Critical Disability Studies (CDS) with discussion of universal design and inclusive design; frames UD as expanding usability to all people,Inclusive Design,Not mentioned in source.
Universal Design and ergonomics to identify inclusive requirements for assistive orthopedic products (rheumatoid arthritis hand disabilities),Comparison of Assistive Orthopedic Products using the Pugh Matrix. A Universal Design and Ergonomics Approach,A. López; Juan Luis Hernández Arellano; Edson Francisco Estrada Meneses,2021,"Cultura Científica y Tecnológica, Vol. 18, Issue 1 (January–April 2021)",Case Study,Pugh matrix for comparing/evaluating products; uses Universal Design and ergonomics; includes QOL-RA scale and Health Assessment Questionnaire (HAQ),Universal Design,Not mentioned in source.
Inclusive design and interdisciplinary links (including healthcare and medical device design) emphasized in Inclusive Design Research and CWUAAT proceedings,DESIGNING INCLUSIVE SYSTEMS,Michal Skrzypczak; P. Hofman,2021,Proceedings volume from The Cambridge Workshops on Universal Access and Assistive Technology (CWUAAT),Theoretical,Inclusive Design Research described as developing tools and guidance to design for the widest possible population; notes interdisciplinary links with healthcare and medical device design,Inclusive Design,Not mentioned in source.
"Human-centred design (HCD) for medical devices/diagnostics in global health; aims for usability, durability, and affordability in low-resource environments",Human-centered design for medical devices and diagnostics in global health,Mark Fisher; E. Johansen,2020,Not mentioned in source.,Review,"Overviews HCD processes/methods/mindsets; HCD draws on ethnography, participatory design/co-design, contextual design, empathic design; uses journey maps, stakeholder maps, personas; references ISO/IEC 62366 for formative/summative human factors testing",Human-Centred Design,Not mentioned in source.
Barriers to assistive technology use; argues for moving away from traditional medical model toward greater user involvement for personalised care,Exploring the barriers to using assistive technology for individuals with chronic conditions: a meta-synthesis review,J. Howard; Z. Fisher; A. Kemp; Stephen Lindsay; L. Tasker; J. Tree,2020,Not mentioned in source.,Review,"Meta-synthesis using GENIAL framework, ICF, PRISMA, CASP checklist, and ARCHIE framework",User-Centred Design,https://cronfa.swan.ac.uk/Record/cronfa55335/Download/55335__18416__689474d058e04723b9893c03b02819dd.pdf
Highlights mismatch between textbook user-centred design and healthcare-sector practice; critiques technology-driven medical product design processes,THE HEALTHCARE DESIGN DILEMMA: PERILS OF A TECHNOLOGY-DRIVEN DESIGN PROCESS FOR MEDICAL PRODUCTS,H. Wilke; P. Badke-Schaub; K. Thoring,2020,Not mentioned in source.,Empirical,"Case study approach (Yin, 2009) using participatory observation, diary studies, semi-structured interviews, and document/job-posting analysis; references experience-based co-design (EBCD)",User-Centred Design,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/AC12CBDD72F4F52FB9063ADD7A364450/S2633776220001338a.pdf/div-class-title-the-healthcare-design-dilemma-perils-of-a-technology-driven-design-process-for-medical-products-div.pdf
"Design translation challenges in healthcare: argues that alongside UCD/co-design, early engagement of broader stakeholders is needed for adoption/implementation",Design in healthcare: the challenge of translation,J. West,2020,Royal College of Art (RCA) Research Online repository PDF,Case Study,Case studies leading to proposed methodology to optimize inclusive design in healthcare; uses Design Council Double Diamond as core process model and references Inclusive Design toolkit (Engineering Design Centre),Inclusive Design,https://researchonline.rca.ac.uk/4484/8/RFDH1783880_AU.pdf
Participatory design as a route to accessible technology; emphasizes collaboration/communication among actors in design processes,A review: accessible technology through participatory design,Christian Quintero,2020,Not mentioned in source.,Review,"Expert-developed protocol of guidelines; assesses literature across accessibility, assistive technologies, and participatory design categories",Participatory Design,https://www.semanticscholar.org/paper/e101474480900da9b2e9402577937514e84dd607
Performance-based Universal Design assessment tool supporting designers and healthcare management to promote inclusion in healthcare environments,Universal Design assessment tool to promote well-being and inclusion in healthcare environment,E. I. Mosca; E. Steinfeld; S. Capolongo,2020,European Journal of Public Health (supplement PDF available),Case Study,Systematic literature review of UD tools; workshops with users/experts; analysis of hospital case studies; multi-criteria analysis to develop hierarchical framework; checklist-based rating system with categories/criteria/indicators,Universal Design,https://academic.oup.com/eurpub/article-pdf/30/Supplement_5/ckaa165.589/33819397/ckaa165.589.pdf
User involvement in assistive technology service delivery processes (AT-SDP) to achieve positive outcomes,The effects of assistive technology service delivery processes and factors associated with positive outcomes,Not mentioned in source.,2019,Not mentioned in source.,Review,European AT-SDP generic model steps (initiative → assessment → typology → selection → financing → delivery → follow-up); uses Joanna Briggs Institute MAStARI critical appraisal tools; PRISMA reporting guideline,User-Centred Design,https://findresearcher.sdu.dk/ws/files/157530059/AT_SDP_sys_rev_clean_copy.pdf
Human factors for designing home-based stroke rehabilitation technologies: engagement/motivation and designing for home context,Home-based technologies for stroke rehabilitation: A systematic review,Yu Chen; Kingsley Travis Abel; John T. Janecek; Yunan Chen; Kai Zheng; S. Cramer,2019,Not mentioned in source.,Review,"Derives two main human factors: designing for engagement (external/internal motivation) and designing for the home environment (social context, practical challenges, technical proficiency)",User-Centred Design,https://www.sciencedirect.com/science/article/am/pii/S1386505618302740
Therapists’ experiences highlight the need for collaboration with technology developers to improve design/usability of rehabilitation technologies,Experiences of therapists using feedback-based technology to improve physical function in rehabilitation settings: a qualitative systematic review,Caitlin Hamilton; Meryl Lovarini; A. McCluskey; Tarcisio Folly de Campos; Leanne Hassett,2019,Not mentioned in source.,Review,Thematic synthesis of qualitative studies; NVivo-assisted coding and categorisation,User-Centred Design,Not mentioned in source.
Patient-centred (user-centred) design case study in connected healthcare contexts,Patient-Centered Design in a Connected Healthcare World: A Case Study,N. Dey; P. Rautray; M. Soni,2019,Not mentioned in source.,Case Study,Not mentioned in source.,User-Centred Design,https://link.springer.com/content/pdf/10.1007%2F978-981-13-5974-3_83.pdf
Industrial design in medical devices: emphasizes multidisciplinary collaboration (biomedical engineering + industrial design) and user needs,The Importance of Industrial Design in Medical Devices in the 21st Century,Fanny Guadalupe Valdivia-Márquez; Pilar Hernandez-Grageda; Gabriela Durán-Aguilar; Luis Alberto Rosa Sierra,2018,Not mentioned in source.,Theoretical,Highlights multidisciplinary work among biomedical engineering and industrial design with support from ergonomics and psychology to meet user needs,User-Centred Design,Not mentioned in source.
Medical device design challenges: argues for considering a “hierarchy of users” and prioritizing needs by illness stage; notes absence of industrial designers in device design,Medical Device Design Challenges Based on Users Hierarchy and Their Correlation with Illness,Fabiola Cortes-Chavez; Maria Giovanna-Trotta; Paulina Manzano-Hernandez; Luis Alberto Rosa Sierra; Gabriela Durán-Aguilar,2018,Not mentioned in source.,Theoretical,Human-centred design methodologies; concept of “hierarchy of users” to prioritize user needs by illness stage,Human-Centred Design,Not mentioned in source.
Human-centred criteria for healthcare design to integrate human factors and reduce misuse across the design process,Human centred criteria for healthcare design,A. Millet; A. A. Akle; J. Legardeur,2018,Not mentioned in source.,Theoretical,Presents stage-specific criteria; notes directives/standards requiring integration of human factors to reduce risks of misuse and guide design,Human-Centred Design,Not mentioned in source.
Design for care and therapeutic wellbeing: develops a “Design for Care” model using qualitative data to improve medical products,Designing Care. How Design can improve medical products for a therapeutic wellbeing,Angela Giambattista,2017,Not mentioned in source(s).,Case Study,"Evidence-Based Design (EBD), User-Centred Design, Research Through Design; introduces the “Care Scale” and translates observations into a “Design for Care” model",Human-Centred Design,https://www.tandfonline.com/doi/pdf/10.1080/14606925.2017.1352732?needAccess=true
Assistive technology in daily life: overview of knowledge in rehabilitation and calls for integrative models supporting collaboration among actors across the technological continuum,Use of assistive technologies in daily life: A portrait of current knowledge,Pierre-Yves Therriault; Marie-Michèle Lord; Alexe Desaulnier; Galaad Lefay,2018,Not mentioned in source.,Review,Interpretative synthesis methodology based on Pope et al. (2007),User-Centred Design,Not mentioned in source.
Systematic review of users’ needs for assistive technology for upper extremities after stroke; links attention to user perspectives to improved fit and acceptance,Assistive Technology for the Upper Extremities After Stroke: Systematic Review of Users’ Needs,A. L. van Ommeren; L. C. Smulders; Gerdienke B. Prange-Lasonder; J. Buurke; P. Veltink; J. Rietman,2018,Not mentioned in source(s).,Review,"Synthesizes qualitative user-perspective data; included studies used focus groups, questionnaires, and interviews; explicitly links user-centred design attention to better-fitting devices",User-Centred Design,Not mentioned in source.
Assistive technology provision for children: systematic review of factors influencing provision and selection; highlights consumer-/family-centered decision-making frameworks,Factors Perceived by Rehabilitation Professionals to Influence the Provision of Assistive Technology to Children: A Systematic Review,Karin van Niekerk; S. Dada; K. Tönsing; K. Boshoff,2018,Not mentioned in source.,Review,"Uses Assistive Technology Device Selection Framework (Scherer et al., 2007); references HAAT model and Matching Person and Technology model; deductive then inductive thematic analysis; MMAT used for quality appraisal",User-Centred Design,https://repository.up.ac.za/bitstream/2263/69070/1/VanNiekerk_Factors_2018.pdf
Co-creation of personal medical devices (PMDs) and orthotics: patient involvement as co-designers to improve wellbeing and adherence,Quantified Lives and Vital Data,R. Lynch; C. Farrington,2018,Not mentioned in source.,Case Study,Case study of orthotics with patients as co-designers; considers solutions within a biopsychosocial model of healthcare,Co-design,https://www.semanticscholar.org/paper/20f16b3f1b2394c7374470d47dbe241cae454c19
User-centred ergonomics in NICU medical device design: iterative development shaped by key users (nursing staff),The Role of Ergonomics in the Design of an Intravenous Therapy (IV) Set for Neonatal Intensive Care,A. Albayrak; M.M.A. Vreede; L. Evers; R. Goossens,2018,Not mentioned in source.,Case Study,"Contextual design methods including observations and interviews with stakeholders (especially nursing staff), generative sessions, and multiple user feedback sessions; multiple design iterations based on user needs/limitations in context",User-Centred Design,Not mentioned in source.
Systematic review of inclusive toys for rehabilitation: discusses co-design/adapting accessible interactive toys supported by participatory design techniques,Inclusive Toys for Rehabilitation of Children with Disability: A Systematic Review,Eunice P. dos Santos Nunes; Vicente António da Conceição Júnior; Lucas Vinicius Giraldelli Santos; Maurício Fernando L. Pereira; L. C. L. F. Borges,2017,Not mentioned in source.,Review,Co-design and/or adapting accessible toys; PD techniques; proposes a conception/design model for inclusive toys supported by PD techniques,Participatory Design,Not mentioned in source.
Foundational discussion of user-centred and participatory design approaches in assistive technology development,The Design and Development of Assistive Technology,N. Harris,2017,Not mentioned in source.,Theoretical,Discusses user-centered design (UCD) and participatory design (PD) as key approaches,User-Centred Design,Not mentioned in source.
"Paradigm shift in assistive technology design from user-centred design to co-creation, with users central and directly connected to designers",Disrupting the world of Disability: The Next Generation of Assistive Technologies and Rehabilitation Practices.,C. Holloway; H. Dawes,2016,Healthcare Technology Letters (Wiley PDF link available),Theoretical,Highlights user-centred design methods and a shift toward co-creation; also discusses positive design and positive computing as relevant lenses,Co-design,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1049/htl.2016.0087
User participation in medical device development processes and the role of industrial design; argues users are often passive participants in regulated development and suggests richer user involvement practices,COLLABORATIVE DESIGN PROCESSES IN MEDICAL DEVICE DEVELOPMENT,M. Privitera; D. Southee,2016,Not mentioned in source.,Review,Literature review of device development processes; suggests contextual inquiry and formal usability assessments; highlights transfer of user-involvement practices from consumer product design to medical devices,User-Centred Design,Not mentioned in source.
"User involvement techniques in assistive technology new product development (AT NPD), emphasizing user-centred collaboration across phases","An evaluation of the potential order and priority of research methods, design methods and design heuristics within an Assistive Technology new product development process",G. Torrens,2015,Not mentioned in source.,Review,Defines 61 research/design methods and heuristics; relates method clustering to Martin & Hanington’s 5-phase design process model (phase emphasis noted),User-Centred Design,Not mentioned in source.
Universal design applied as a patient-centred approach to improve healthcare services and patient experience,Make It Better: how universal design principles can have an impact on healthcare services to improve the patient experience,J. Myerson; J. West,2015,Not mentioned in source.,Case Study,"Examines the Seven Principles of Universal Design (Ron Mace, 1997) and evaluates which are relevant to healthcare; uses case studies from The Helen Hamlyn Centre for Design (RCA)",Universal Design,Not mentioned in source.
Industrial design as addressing physical and emotional human needs; promotes human-centred and empathic research strategies in healthcare-related product design projects,Innovating alongside designers.,D. McDonagh; Joyce Thomas,2013,Not mentioned in source.,Case Study,"Human-centred/empathic research strategies (ethnography, empathic modelling, shared language, collaboration); iterative toolkit methods including user research, prototyping, and usability testing",Human-Centred Design,https://www.semanticscholar.org/paper/18de67abe563aee10ebffc315c5e24dccdc1933a
"Evidence-based, user-centric integration of medical, assistive, and universal-design technologies via service methods and classification frameworks","Integrating medical, assistive, and universal design products and technologies: Assistive Technology Service Method (ATSM)",Linda-Jeanne Elsaesser; S. Bauer,2012,Disability & Rehabilitation: Assistive Technology (referenced as source of related articles),Theoretical,"Assistive Technology Service Method (ATSM), Assistive Technology Device Classification (ATDC), Matching Person and Technology (MPT); uses ICF conceptual framework/common language",Universal Design,Not mentioned in source.
"ICF-based classification differentiating medical, assistive, and universally designed products; supports universal design principles and informs rehabilitation practice/public policy","Integrating medical, assistive, and universally designed products and technologies: assistive technology device classification (ATDC)",S. Bauer; Linda-Jeanne Elsaesser,2012,Not mentioned in source.,Theoretical,"ATDC, ATSM, and Matching Person and Technology models as a standardized, internationally comparable framework; grounded in ICF language and concepts",Universal Design,Not mentioned in source.
Inclusive design as a business/industry imperative; aims to minimise preventable design exclusion using data-driven methods to understand user diversity,Designing a More Inclusive World,S. Keates; J. Clarkson; P. Langdon; P. Robinson,2012,Edited book inspired by Cambridge Workshops on Universal Access and Assistive Technology (CWUAAT),Review,"Representative user methods (market segmentation, personas, impairment simulation); predictive population datasets for task exclusion; exclusion audit procedures and tools validated against survey data",Inclusive Design,Not mentioned in source.
User involvement in early assistive technology (AT) development; evaluates methods to elicit needs and test early designs,User involvement in the early development of assistive technology devices,Z. Clarke; S. Judge; N. Heron; Joe Langley; I. Hosking; M. Hawley,2011,Not mentioned in source.,Case Study,"Four user involvement methods: focus groups, online surveys, qualitative interviews, and design workshops; includes an inclusive design approach and a needs–solutions–evaluation toolkit (three fundamental questions)",Inclusive Design,http://eprints.whiterose.ac.uk/74405/2/WRRO_74405.pdf
Conceptual framework for integrating users into medical device development (MDD) via cross-disciplinary user requirements research,THE ROLE OF USER REQUIREMENTS RESEARCH IN MEDICAL DEVICE DEVELOPMENT,Anila Shah; S. Alshawi,2010,Not mentioned in source.,Theoretical,"Constructs a conceptual framework for user involvement in MDD by amalgamating methods from IT, ergonomics (including participatory research), psychology, and design",User-Centred Design,https://www.semanticscholar.org/paper/7b05673db4d7ea42bfcc60d1a41b1f15aac7cdda
Inclusive design reframes disability as a mismatch created by designs/environments; summarizes active inclusive design research topics and methods,Inclusive design,John Clarkson; Roger Coleman,2010,Taylor & Francis journal publication (ISSNs and DOI provided),Review,"Discusses inclusive design management (BS 7000-6), researcher–user engagement, and user research methods as part of inclusive design tooling and education efforts",Inclusive Design,10.1080/09544821003693689
