Title,Authors,Year,Source Type,URL,Requirement Categories Addressed,Design Methodology Or Framework,Key Contribution
Innovative Prosthetic Hand Design: Integrating EMG Sensors and 3D Printing for Enhanced Usability,Gurav et al.,2024,Journal Article,https://armejournal.org/index.php/arme/article/download/4243/7639,Functional; Ergonomic; Technical; Manufacturing; User-Centred; Aesthetic; Cost[9],Not mentioned in source.,"Proposes an innovative prosthetic hand that integrates EMG sensors and 3D printing to provide an affordable, user-friendly solution with enhanced control and adaptability.[9]"
Functional kinematic and kinetic requirements of the upper limb during activities of daily living: a recommendation on necessary joint capabilities for prosthetic arms,Herneth et al.,2024,Conference Paper,https://arxiv.org/abs/2408.14361,Functional; Technical; User-Centred[10],"Data-driven design using motion capture of 12 subjects performing 24 ADLs, computation of joint kinematics and kinetics, linear regression models to generalise torque scaling, and optimisation of wrist axis orientations for prosthesis design[10]",Provides a comprehensive dataset of joint kinematics and kinetics for the upper limb during activities of daily living to inform the design of more functional and user-friendly prosthetic arms.[10]
Remote Co-Creation of Upper Limb Prostheses: Insights from a Feasibility Study,Not identified,2024,Conference Paper,https://ieeexplore.ieee.org/iel8/10781475/10781494/10782004.pdf,Functional; User-Centred; Technical; Ergonomic[11],User-centred co-creation using remote/IoT-enabled participatory design methods; feasibility study methodology focused on remote collaboration to elicit requirements[11],"Assesses the feasibility of a remote co-creation process for developing upper limb prostheses with sensory feedback, highlighting the potential and challenges of a user-centric Internet of Things approach.[11]"
Prosthetic Arm: Prototype Design,Not identified,2024,Web/Report,https://ieeexplore.ieee.org/document/10077877/,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
"OpenLimbTT, a Transtibial Residual Limb Shape Model for Prosthetics Simulation and Design: creating a statistical anatomic model using sparse data",Sunderland et al.,2024,Preprint,https://www.medrxiv.org/content/10.1101/2024.11.27.24317622v1.full,Ergonomic; Manufacturing; Technical; User-Centred; Functional[8],"Statistical Shape Modelling via Principal Component Analysis (PCA) and non-rigid ICP registration, with size-normalisation and leave-one-out cross-validation; employs CAD/CAM and FEA workflows as intended application contexts[8]","Presents a statistical shape model of the transtibial residual limb to predict internal bone geometry from external surface scans, supporting evidence-based socket design and predictive simulation.[8]"
A novel framework for designing a multi-DoF prosthetic wrist control using machine learning,Not identified,2024,Journal Article,https://ncbi.nlm.nih.gov/pmc/articles/PMC8298628/,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Prosthetic Arm: Prototype Design,Sathish J et al.,2023,Conference Paper,https://ieeexplore.ieee.org/document/10077877/,Functional; Ergonomic; Technical; Manufacturing; User-Centred; Cost[12],"Iterative engineering design process with user-centred emphasis: conceptualization, prototyping (3D printing), testing, and refinement using microcontroller-driven actuation and EMG signal integration[12]","Presents the design of a low-cost, lightweight, electromechanical prosthetic arm controlled by EMG signals to assist amputees with daily tasks like gripping and pointing.[12]"
Evidencing the effectiveness of upper limb prostheses: a multi-stakeholder perspective on study requirements,Jones et al.,2023,Journal Article,https://www.frontiersin.org/articles/10.3389/frhs.2023.1213752/pdf?isPublishedV2=False,User-Centred; Ergonomic; Cost; Functional; Technical; Regulatory; Safety[13],"Uses a consensus-based, multi-stakeholder workshop approach and thematic analysis to define study design recommendations; advocates mixed-methods study designs (quantitative + qualitative), longitudinal studies, goal-based outcome measures, and patient involvement in design[13]",Presents findings from multi-stakeholder workshops to establish design requirements for policy-driven research on the effectiveness of multi-grip myoelectric hands to inform NHS policy.[13]
An Interdisciplinary Approach and Advanced Techniques for Enhanced 3D-Printed Upper Limb Prosthetic Socket Design: A Literature Review,Xu et al.,2023,Journal Article,https://mdpi-res.com/d_attachment/actuators/actuators-12-00223/article_deploy/actuators-12-00223.pdf?version=1685175181,Functional; Ergonomic; Technical; Manufacturing; User-Centred; Regulatory[14],"Uses literature review and bibliometric methods (Connected Papers, Scite); discusses interdisciplinary frameworks and mass customization, and references FEA and topology optimisation in case studies[14]",Provides a literature review on the interdisciplinary approach and advanced techniques for designing 3D-printed upper limb prosthetic sockets to enhance personalization and comfort.[14]
3D Printing in Prosthetics: A Design Guide | nTopology,Not identified,2023,Web/Report,https://www.ntop.com/resources/blog/3d-printing-in-prosthetics-a-design-guide/,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
A Personalized 3D-Printed Hand Prosthesis for Early Intervention in Children With Congenital Below-Elbow Deficiency: User-Centered Design Case Study,Ccorimanya et al.,2023,Journal Article,https://www.semanticscholar.org/paper/cb8e9d50ae205930b6e70017897ecd61acdba10f,User-centred; Manufacturing; Ergonomic; Functional[15],"User-Centred Design (UCD) is the primary framework, applied over a three-year interdisciplinary iterative prototyping process with parents mediating child input[15]",Investigates the design requirements for a 3D-printed hand prosthesis for young children with congenital below-elbow deficiency using a user-centered design approach.[15]
A Perspective on Prosthetic Hands Control: From the Brain to the Hand,Gentile et al.,2023,Journal Article,https://www.mdpi.com/2673-1592/5/4/83,Functional; Ergonomic; User-Centred; Technical; Cost[16],"Uses a neuroscience-informed, hierarchical control framework (task/gesture/action levels) and discusses synergies and human-in-the-loop hierarchical sensorimotor frameworks; does not apply formal engineering frameworks like QFD or Axiomatic Design explicitly[16]","Reviews the current state of prosthetic hand control from a neuroscientific and engineering perspective, focusing on bridging the gap between the human brain and artificial hands.[16]"
Task-Oriented Design of a Multi-Degree of Freedom Upper Limb Prosthesis With Integrated Myocontrol and Sensory Feedback,Kashiwakura et al.,2023,Journal Article,https://www.semanticscholar.org/paper/916645e8174d895dd1231e5020af7281d37eff5d,Functional; Technical; User-Centred; Ergonomic[17],Task-oriented design based on user survey studies; emphasis on integration of features informed by user needs[17],"Describes a multi-degree of freedom upper limb prosthesis designed from user surveys, featuring integrated myocontrol and sensory feedback to improve performance in daily living activities.[17]"
Upper limb prostheses: bridging the sensory gap,"Roche, A. et al.",2023,Journal Article,https://research.chalmers.se/publication/534397/file/534397_Fulltext.pdf,Functional; Ergonomic; Technical; Manufacturing; User-Centred[18],Not mentioned in source.,Reviews the engineering and surgical solutions for restoring sensory feedback in upper limb prostheses to improve dexterous control and device functionality.[18]
Qualitative needs assessment for the development of a smart thumb prosthesis,Moltaji et al.,2023,Journal Article,https://www.semanticscholar.org/paper/42136fe66665ab4c1cb0174681161c32a8a9b85e,Functional; Ergonomic; Manufacturing; User-Centred; Cost[19],"User-centred qualitative needs assessment using conventional content analysis; stakeholder interviews with amputees, rehabilitation professionals, and prosthetists[19]",Explores the experiences of individuals with thumb amputation to define the design elements of an ideal thumb prosthesis from the end-user's perspective.[19]
Review and critique of current testing protocols for upper-limb prostheses: a call for standardization amidst rapid technological advancements,Hooshiar,2023,Journal Article,https://www.frontiersin.org/articles/10.3389/frobt.2023.1292632/full,Functional; User-Centred; Technical[20],Not addressed.,Critiques current testing protocols for upper-limb prostheses and calls for standardization to ensure the validity of evaluations for technologically advanced devices.[20]
Designing Prosthetic Hands With Embodied Intelligence: The KIT Prosthetic Hands,Weiner et al.,2022,Journal Article,https://www.frontiersin.org/articles/10.3389/fnbot.2022.815716/pdf,Functional; Ergonomic; Technical; Manufacturing; User-Centred[21],"Uses engineering design focused on underactuated mechanisms and embodied intelligence; references user-centred goals (intuitiveness, ADL support) and evaluation protocols (YCB, ADL task protocol); does not adopt formal frameworks like QFD or Axiomatic Design explicitly—methodology is empirical iterative design, mechatronic integration and task-based evaluation[21]","Presents the design of prosthetic hands with semi-autonomous grasping capabilities, integrating multi-modal sensing and an embedded control system to create a more intuitive and user-friendly device.[21]"
Design and Implementation of an Anthropomorphic Robotic Arm Prosthesis,Yurova et al.,2022,Journal Article,https://mdpi-res.com/d_attachment/technologies/technologies-10-00103/article_deploy/technologies-10-00103.pdf?version=1663727755,Functional; Ergonomic; Technical; Manufacturing; User-Centred[22],"Not specified. The paper describes an engineering design process and flowchart of stages, iterative analysis/design/testing, but does not apply a named design methodology or formal framework (e.g., QFD, Axiomatic Design)[22]","Presents the design of a low-cost, easy-to-maintain anthropomorphic robotic arm prosthesis that aims to replicate the functionality and dimensions of a human limb.[22]"
Getting to know... macu4: 3D Printed Arm Prosthetics!,Not identified,2022,Web/Report,https://www.shapediver.com/blog/getting-to-know-macu4-3d-printed-arm-prosthetics,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Towards User-Centred Prosthetics Research Beyond the Laboratory,Not identified,2022,Journal Article,https://pmc.ncbi.nlm.nih.gov/articles/PMC9048479/,"User-centred requirements (data sharing preferences, control over data collection, involvement in co-design) and implications for functional and contextual requirements in real-world settings[23]",Not mentioned in source.,Not mentioned in source.
Active upper limb prostheses: A review on current state and upcoming breakthroughs (Accepted Manuscript),Marinelli et al.,2022,Review/Survey,https://iris.polito.it/retrieve/handle/11583/2974121/3ec5d30f-d5a0-46ff-b90a-c550c5492eb4/2022_Marinelli_Active%20Upper%20Limb%20Prostheses%20A%20review%20on%20Current%20State%20and%20Upcoming%20Breakthroughs.pdf,Functional; Ergonomic; Technical; Manufacturing; User-Centred[24],"Emphasizes user-centred, human-in-the-loop, transdisciplinary review rather than a single formal design framework; advocates co-adaptive, iterative user involvement, training and feedback loops; references user research and embodiment frameworks[24]","Provides a comprehensive review of active upper limb prostheses, analyzing the current state and future breakthroughs in control, sensory feedback, and mechatronics from a user-centered perspective.[24]"
The Application of Generative Algorithms in Human-Centered Product Development | MDPI,Urquhart et al.,2022,Journal Article,https://www.mdpi.com/2076-3417/12/7/3682,Functional; Ergonomic; Manufacturing; User-Centred; Aesthetic[25],"Proposes a generative-design workflow integrating human-centered design: stages are Specification/ideation, Conceptualization, Embodiment (algorithmic macro/micro stages), and Realization; uses SBF ontology and graph-based spatial embedding with Rhino-Grasshopper[25]","Presents a framework for applying generative algorithms in human-centered product development, using ergonomic factors to create customized and optimized forms for devices like prosthetics.[25]"
"Real-World Testing of the Self Grasping Hand, a Novel Adjustable Passive Prosthesis: A Single Group Pilot Study",O’Brien et al.,2022,Journal Article,https://mdpi-res.com/d_attachment/prosthesis/prosthesis-04-00006/article_deploy/prosthesis-04-00006-v3.pdf?version=1645085373,Functional; Ergonomic; Manufacturing; User-Centred; Technical[26],Not addressed.,"Evaluates the real-world performance of a novel 3D-printed adjustable passive prosthesis, providing user feedback on its functionality and satisfaction to inform future design improvements.[26]"
A Review of the Performance of Extrinsically Powered Prosthetic Hands,Damerla et al.,2021,Review/Survey,https://www.semanticscholar.org/paper/ab55a2cfaa09cad18eabb6031da5ace257a0e9d0,Functional; Ergonomic; Technical; Manufacturing; User-Centred.[27],The paper uses a systematic literature review focused on actuation strategies to characterise the actuation design space for prosthetic hands[27],"Provides a comprehensive review of extrinsically powered prosthetic hands, focusing on actuation strategies to identify promising avenues for research and innovation.[27]"
"A review of technology, materials and R&D challenges of upper limb prosthesis for improved user suitability.",Brack et al.,2021,Review/Survey,https://www.semanticscholar.org/paper/f6e7dba17b8e8a96f350ba7dcfa30e063f519624,Functional; Ergonomic; Cost; User-Centred; Materials[28],Not mentioned in source.,"Reviews upper limb prosthetic technology, materials, and R&D challenges to advise on the suitability of different devices to meet amputees' needs and reduce device abandonment.[28]"
A Quantitative Research to Determine User’s Requirements for the Mind-Controlled Prosthesis Arm Intelligent System,Ali et al.,2021,Conference Paper,https://www.semanticscholar.org/paper/faaf21ffff9eb5f5ddf75c2532ebc49e43a60dfe,Functional; Ergonomic; Cost; User-Centred[29],Quantitative user-requirements elicitation via questionnaire; user-centred participatory approach (considering participants' interests and recommendations)[29],"Presents a quantitative survey to identify user requirements for a mind-controlled prosthesis arm, aiming to develop an inexpensive, lightweight, and smart functional system.[29]"
Suitability of the Openly Accessible 3D Printed Prosthetic Hands for War-Wounded Children,Cabibihan et al.,2021,Journal Article,https://www.frontiersin.org/articles/10.3389/frobt.2020.594196/full,Functional; Manufacturing; Technical; Ergonomic; User-Centred; Cost[30],Not addressed.,"Evaluates the suitability of openly accessible 3D-printed prosthetic hands for war-wounded children, focusing on grasping capabilities, durability, and cost-effectiveness.[30]"
A User-Driven Approach to Prosthetic Upper Limb Development in Korea,Ju et al.,2021,Journal Article,https://www.mdpi.com/2227-9032/9/7/839/pdf?version=1625229405,Functional; Ergonomic; Aesthetic; Cost; User-Centred; Training/rehabilitation requirements[31],"Uses a user-driven questionnaire survey and expert review for instrument design; applies descriptive statistics and t-tests. No formal engineering design framework (e.g. QFD, Axiomatic Design) is specified[31]","Identifies key user requirements and considerations for upper limb prosthetics in Korea through a questionnaire survey, aiming to inform the development of user-centered devices.[31]"
Recognized Consensus Standards: Medical Devices - FDA,Not identified,2021,Web/Report,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/detail.cfm?standard__identification_no=42373,"Regulatory and standards requirements applicable to prosthetic devices, specifically ISO 22523 (prosthetic device strength/performance) and ISO 13485 (quality management systems)[32]",Not mentioned in source.,Not mentioned in source.
Co-creation and User Perspectives for Upper Limb Prosthetics,Jones et al.,2021,Journal Article,https://www.frontiersin.org/articles/10.3389/fnbot.2021.689717/pdf,Functional; Ergonomic; Aesthetic; User-Centred; Clinical service requirements; Collaboration/process requirements; Ethical requirements[33],"Uses co-creation/co-design approach and workshop model inspired by the Design Council's Double Diamond (divergent/convergent thinking), employing GRIPP2 for reporting patient/public involvement[33]","Identifies six key themes for the future development of upper limb prosthetics through a co-creation project, emphasizing the need for a stronger link between psychological and clinical services.[34, 33]"
Co-creation and User Perspectives for Upper Limb Prosthetics,Not identified,2021,Journal Article,https://pmc.ncbi.nlm.nih.gov/articles/PMC8299561/,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Characterising Residual Limb Morphology and Prosthetic Socket Design Based on Expert Clinician Practice,Dickinson et al.,2021,Journal Article,https://eprints.soton.ac.uk/451535/1/prosthesis_03_00027.pdf,Functional; Ergonomic; Technical; Manufacturing; User-Centred[35],"Uses a hybrid expert-informed, evidence-based 'smart templates' approach, employing unsupervised machine learning (PCA and k-means clustering) integrated with clinician oversight.[35]","Develops a method to objectively analyze personalized prosthetic socket designs from expert prosthetists using machine learning to create evidence-based ""smart templates"" for future designs.[35]"
Design of a 3D-printed hand prosthesis featuring articulated bio-inspired fingers,Cuellar et al.,2021,Journal Article,https://pure.tudelft.nl/ws/portalfiles/portal/88829312/0954411920980889.pdf,Functional; Manufacturing; Ergonomic; Technical; User-Centred; Cost[36],Bio-inspired design applied within engineering design choices and simplifications for body-powered prostheses; iterative prototyping and experimental bench evaluation (mechanical testing of pinch force and energy dissipation).[36],"Presents a bio-inspired, 3D-printed hand prosthesis with articulated fingers, designed to be lightweight, low-cost, and manufacturable with FDM technology.[36]"
"Design of robust, ergonomic myoelectric handwriting prosthesis",Naffeti et al.,2020,Conference Paper,https://www.semanticscholar.org/paper/3e86346ceca04c7d53220835d327b191876ae95c,Functional; Ergonomic; Aesthetic; Technical[37],Not mentioned in source.,"Designs an adaptive myoelectric prosthesis for handwriting that uses surface electrodes and a comfortable, customizable binding to ensure good signal quality and intuitive control.[37]"
Standards Roadmap: Neurotechnologies for Brain-Machine Interfacing,Not identified,2020,Web/Report,https://standards.ieee.org/wp-content/uploads/import/documents/presentations/ieee-neurotech-for-bmi-standards-roadmap.pdf,Functional; Manufacturing; Technical; User-Centred; Ergonomic; Regulatory[38],Not mentioned in source.,Not mentioned in source.
Sociotechnical System Analysis for Identification of the Informational Requirements of Prosthetic Device Users for Upper Limb,Moggio et al.,2020,Conference Paper,https://www.semanticscholar.org/paper/51979789452e000af3985e242b834a81508afc94,User-Centred; Ergonomic; Cost[39],"Uses the Integrated Product Development Process (IPDP) combined with Macroergonomics and Socio-technical System analysis, and applies Likert surveys to collected data[39]","Presents a sociotechnical system analysis to identify informational requirements of upper limb prosthetic users, applying ergonomics and universal design principles within the Integrated Product Development Process (IPDP).[39]"
A practical 3D-printed soft robotic prosthetic hand with multi-articulating capabilities | PLOS One,Mohammadi et al.,2020,Journal Article,https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0232766,Functional; Ergonomic; Technical; Manufacturing; User-Centred[40],"Requirement-driven design procedure: the authors derive practical requirements from literature and benchmark tests (AM-ULA), regroup them into categories, and then design solutions to meet them.[40]",Presents a requirement-driven design of a 3D-printed soft robotic prosthetic hand that balances practicality with performance for activities of daily living.[40]
Design aspects of a low-cost prosthetic arm for people with severe movement disabilities,Not identified,2020,Conference Paper,https://ieeexplore.ieee.org/document/9142647/,Functional; Ergonomic; Manufacturing; Technical; User-Centred[41],"Iterative mechanical design process starting from the distal segment used to develop a fully functioning arm, including dynamic validation.[41]","Presents the mechanical design aspects of a low-cost, 5-DOF, 3D-printed prosthetic arm that is comparable in size and range of motion to a human arm.[41]"
Technology for monitoring everyday prosthesis use: a systematic ...,Not identified,2020,Review/Survey,https://link.springer.com/article/10.1186/s12984-020-00711-4,Functional; Ergonomic; User-Centred[42],Not mentioned in source.,Not mentioned in source.
Defining the design requirements for an assistive powered hand exoskeleton: A pilot explorative interview study and case series.,Boser et al.,2020,Journal Article,https://journals.lww.com/poijournal/Fulltext/2021/04000/Defining_the_design_requirements_for_an_assistive.11.aspx,Functional; Ergonomic; Technical; User-Centred[43],"User-centred exploratory qualitative interviews combined with quantitative case series measurements (mixed-methods: interviews, focus groups, RoM, grip force, EMG) rather than a formal engineering framework[43]","Defines preliminary design requirements for an assistive powered hand exoskeleton through interviews with clinicians and individuals with hand impairments, and quantifies hand characteristics to inform design criteria.[43]"
Microsoft Word - Paper - V14,Herbst et al.,2019,Preprint,https://engrxiv.org/preprint/download/1526/3138,Functional; Ergonomic; Technical; Manufacturing; User-Centred; Aesthetic; Cost[44],"A fully-automated, scan-driven digital design pipeline integrating user scans and preferences to generate parametric CAD models and print-ready assemblies; uses piece-wise parametric (Bezier) surfaces for socket fitting and a functional skeleton + skin separation for kinematic/appearance customization[44]","Presents a fully automated pipeline for designing and manufacturing personalized, low-cost 3D-printed prosthetic hands based on user scans and preferences.[44]"
"Prosthetic hand control: A multidisciplinary review to identify strengths, shortcomings, and the future",Kent,2019,Review/Survey,https://www.sciencedirect.com/science/article/abs/pii/S1746809419301685,User-Centred; Technical; Cost[45],Not addressed.,"Provides a multidisciplinary review of prosthetic hand control, identifying strengths and weaknesses in user requirements, signal recording, signal analysis, and user feedback to guide future research.[45]"
Towards Including End-Users in the Design of Prosthetic Hands: Ethical Analysis of a Survey of Australians with Upper-Limb Difference,Walker et al.,2019,Journal Article,https://www.semanticscholar.org/paper/f00f1bbac740fc70c90b528ed2b35e9e8a271aac,User-Centred; Functional; Ergonomic; Cost; Aesthetic[46],"The study used a user-centred, empirical survey approach with qualitative thematic analysis drawing loosely on grounded theory; additionally advocates for participatory/co-design and framing design to support relational autonomy[46]","Provides an ethical analysis of a survey of Australians with upper-limb differences, highlighting the importance of including end-user perspectives in the design of prosthetic hands to support user autonomy.[46]"
A narrative review: current upper limb prosthetic options and design,Trent et al.,2019,Review/Survey,https://www.semanticscholar.org/paper/0622d365bf12da1bd002e444286f0ae6f12a6124,Functional; Ergonomic; User-Centred,Not mentioned in source.,"Provides an overview of current literature on upper limb prosthetics, including available componentry, design options, and emerging technologies, to inform rehabilitation teams and improve patient outcomes."
E-Nable: A Guide to Creating 3D-Printed Prosthetics,Not identified,2019,Web/Report,https://www.ptk.org/e-nable-a-guide-to-creating-3d-printed-prosthetics/,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Predictive prosthetic socket design: part 2—generating person-specific candidate designs using multi-objective genetic algorithms,Steer,2019,Journal Article,https://link.springer.com/content/pdf/10.1007/s10237-019-01258-7.pdf?error=cookies_not_supported&code=700a8300-bb55-4f35-8518-bb041ef4a142,Functional; Ergonomic; Technical; Manufacturing; User-Centred[47],"Uses a parametric FE modelling + kriging surrogate modelling combined with multi-objective Genetic Algorithms (NSGA-II, MOEA/D, MTS, cMLSGA, HEIA) to perform automated, population-based, multi-objective optimisation of socket rectifications, presenting candidate Pareto-optimal designs for clinician refinement[47]","Generates personalized prosthetic socket designs using multi-objective genetic algorithms to balance competing biomechanical objectives, providing a set of candidate designs for clinical use.[47]"
A review on the advancements in the field of upper limb prosthesis,Das et al.,2018,Review/Survey,https://www.semanticscholar.org/paper/7ef477e3562794e25d0be68d2e3da16e1641f5f6,Functional; Technical; User-Centred; Ergonomic[48],Not mentioned in source.,"Reviews advancements in upper limb prosthesis technology, with a special emphasis on myoelectric systems, to make them more user-friendly and efficient.[48]"
E-NABLE Prosthetic Hand STEM Project - 3D Printing in Education,Not identified,2018,Web/Report,https://www.createeducation.com/resource/enable-project/,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Biomechanical Design of an Anthropomorphic Prosthetic Hand,Atasoy et al.,2018,Conference Paper,https://ieeexplore.ieee.org/document/8487680/,Functional; Ergonomic; Technical[49],Not mentioned in source.,"Explores the biomechanical design of an anthropomorphic prosthetic hand, emphasizing the importance of studying the anatomical structure of the human hand to simplify mechanical complexity while retaining essential functions.[49]"
Development of prosthesis for replacement of upper limb prehensile function in amputee users,Larger et al.,2018,Conference Paper,https://www.semanticscholar.org/paper/df7240c8d01e640a9aea1c64da785d8e2f362368,Functional; Technical; User-Centred,Not mentioned in source.,Describes a prosthetic device with interchangeable tools and dual control options (pedal or muscle signal) designed to meet the specific occupational needs of a plumber with an arm amputation.
X-Limb: A Soft Prosthetic Hand with User-Friendly Interface,Mohammadi et al.,2018,Conference Paper,https://www.semanticscholar.org/paper/ebecbbc10f1d33b33c0991639f968fc92d5ad1bc,Functional; Manufacturing; User-Centred; Ergonomic[50],Not mentioned in source.,"Describes the development of a soft, ultra-light, and easily manufacturable prosthetic hand using soft robotics techniques and parameterized CAD for customization.[50]"
Defining the design requirements for an assistive powered hand exoskeleton,Boser et al.,2018,Preprint,https://www.biorxiv.org/content/biorxiv/early/2018/12/10/492124.full.pdf,Functional; Ergonomic; Technical; User-Centred[51],"User-centred, participatory design approach using structured interviews, focus groups, and quantitative measurement sessions with clinicians and patients to elicit requirements[51]","Defines preliminary design requirements for an assistive powered hand exoskeleton through interviews with clinicians and individuals with hand impairment, and quantifies hand function to further inform design criteria.[51]"
SmartArm's AI-powered prosthesis takes the prize at Microsoft's Imagine Cup | TechCrunch,Not identified,2018,Web/Report,https://techcrunch.com/2018/07/25/smartarms-ai-powered-prosthesis-takes-the-prize-at-microsofts-imagine-cup/,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Usability Evaluation of Anthropomorphic Prosthetic Hand Based on ISO 9241-11,Susanto et al.,2018,Conference Paper,https://www.matec-conferences.org/articles/matecconf/pdf/2018/18/matecconf_ijcaet-isampe2018_02069.pdf,Functional; Ergonomic; User-Centred; Manufacturing[52],Quality Function Deployment (QFD) used for translating user feedback into technical improvement priorities; also mentions QUAD and UCD as evaluation/design bases.[52],Evaluates an anthropomorphic prosthetic hand using the Quality Function Deployment (QFD) method and USE questionnaires to combine user feedback with developer suggestions for design improvements.[52]
