Source Title,Source Year,Definitions Content,Typologies Content,Clinical Content,Regulatory Content
Prosthetic Rehabilitation and Vascularized Composite Allotransplantation following Upper Limb Loss.,2019,"The article frames the purpose of prosthetics as a treatment modality for rehabilitation after upper limb loss, aimed at restoring function and addressing the profound physical, psychological, financial, and social consequences of amputation [10].","The source mentions prosthetic strategies in general but does not detail specific typologies such as passive/cosmetic, body-powered, myoelectric, or hybrid prostheses. Supported content is general reference to prosthetic strategies and their advancements [10].","The article discusses clinical considerations for prosthetic rehabilitation, emphasizing patient selection factors including psychosocial status, injury characteristics, rehabilitation course, expected functional outcomes, and weighing risks and benefits compared to vascularized composite allotransplantation. It also notes a lack of direct comparative outcome studies between transplantation and prosthetic rehabilitation [10].",Not mentioned in source.
Advanced upper limb prosthetic devices: implications for upper limb prosthetic rehabilitation.,2012,"This article frames upper limb prostheses in the context of rehabilitation for traumatic amputation and increased need following military injuries, and discusses their role in restoring function and independence through prosthetic rehabilitation [11].","The source references 'advanced' prosthetic systems and technology but does not provide a detailed classification into passive/cosmetic, body-powered, myoelectric, or hybrid types; therefore it mentions higher-function devices generally but lacks typology breakdowns [11].","The article discusses clinical considerations: current prosthetic rehabilitation practices, team roles, financial and service provision issues, high prosthetic rejection rates and the potential to reduce rejection via specialized multidisciplinary training and patient education, and highlights lack of evidence/guidelines for prescription and treatment [11].","The source comments on policy and insurance coverage implications and calls for research to inform best practices and policy, but does not provide detailed discussion of regulatory frameworks, device classification, safety standards, or clinical validation procedures [11]."
Measurement of Functional Outcome With Individuals Who Use Upper Extremity Prosthetic Devices: Current and Future Directions,2006,Not mentioned in source.,Not mentioned in source.,"The source focuses on clinical measurement and outcome assessment for upper extremity prosthesis users, emphasizing selection of activity and participation outcome measures and psychometric considerations [12]. It highlights gaps in prosthesis-specific measures for adults and recommends development and validation of such measures [12], building a core set including individualized measures [12], and forming multi-center networks to collect outcome data [12].",Not mentioned in source.
New developments in prosthetic arm systems,2016,"The source frames upper limb prostheses as devices intended to mitigate severe impairments caused by limb absence, restoring function and influencing social and mental well-being [13].","The source describes multiple typologies: cosmetic/passive (historical), body-powered/body-driven, powered myoelectric prosthetics, and advanced robotic (active) hands with active/passive wrist options and active elbow solutions, consistent with hybrid configurations combining multiple actuation/control approaches [13].","The source discusses clinical considerations including high historical abandonment rates due to limited function, fragility, and control difficulty [13]. It highlights advances in control (multi-sensor integration, multi-joint articulation), socket design (supporting implantable and surface EMG, osseointegration), and surgical techniques that together improve rehabilitation potential and functional restoration [13].",Not mentioned in source.
"Atlas of Amputations and Limb Deficiencies. Surgical, Prosthetic, and Rehabilitation Principles",2005,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
User-relevant factors determining prosthesis choice in persons with major unilateral upper limb defects: A meta-synthesis of qualitative literature and focus group results,2020,"The source defines prosthesis choice and frames upper limb prostheses as devices used to compensate for absence of an upper limb due to amputation or congenital defect, aiming to restore function, appearance, participation and quality of life [14].","The source classifies prostheses into cosmetic/passive, body-powered, standard mono-grip myoelectric (SHP), multi-grip myoelectric hands (MHP), and the DEKA-arm (separate control modality) and describes key attributes: MHPs offer increased dexterity and life-like appearance but are costlier, less robust and harder to control; DEKA is multi-grip but foot-controlled [14].","The source reports clinical and functional considerations for prescription including a comprehensive framework of 86 factors across physical, activity/participation, mental, social, rehabilitation/costs/prosthetist services, and prosthesis-related factors [14]. It highlights that device selection depends on user goals (function vs appearance), workplace demands (myoelectric devices less suited for heavy/dirt/water exposure) [14], that MHPs may increase dexterity but may be less robust and harder to control [14], and that maintenance needs and high costs affect suitability and access [14].",Not mentioned in source.
Prosthetic Componentry in Upper Limb Prosthetic Restoration.,2024,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Advancements of Upper Limb Prostheses can Improve Patient Quality of Life: A Technology Review,2023,"The source defines upper limb prostheses as external, battery-powered devices that substitute missing arms or hands and have evolved from merely replacing body parts to improving locomotion and function by interfacing with the nervous system; they bridge the brain and artificial limb via electrical signals from residual muscles [15].","The source discusses myoelectric and body-powered prostheses: it highlights myoelectric control as a key technology and describes myoelectric devices as electrically modulated systems interfacing with the PNS/CNS [15]. It contrasts myoelectric and body-powered prostheses, noting higher satisfaction for myoelectric devices on psychosocial and cosmetic grounds but also issues with embodiment for myoelectric users and similar rejection rates for both types (body-powered 26%, myoelectric 23%) [15]. The source does not provide detailed discussion of passive/cosmetic or hybrid classifications beyond these comparisons.","The source identifies clinical considerations including limited dexterity, sensory feedback deficits, intuitive control difficulties, cost, and comfort as major issues targeted by new technologies [15]. It reports that myoelectric prostheses can restore control and functionality, improve dexterity, grip, and force, and reduce phantom limb pain [15]. It notes practical limitations such as inability to get wet and socket/sensor-related comfort issues, describes socket-based suspension as the traditional approach, and provides rejection rates for body-powered and myoelectric devices (26% and 23%) which are relevant to clinical acceptance and prescription [15].",Not mentioned in source.
Prostheses and Rehabilitation Principles in Pediatric Limb Deficiency.,2024,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Evaluation of prosthetic usage in upper limb amputees,2004,Not mentioned in source.,"The source reports distribution of prosthesis types among participants, noting 19 had cosmetic (passive) prostheses and 4 had body-powered prostheses [16].","The study investigates predictors of successful prosthetic rehabilitation and reports methods of clinical assessment including a modified questionnaire, pain VAS, pain type (phantom or stump), and functional assessment [16]. It found 71.4% reported difficulties using prostheses and 54.8% were satisfied with their prosthesis [16]. No significant effect of amputation level was found except trans-wrist amputees had 100% prosthesis use [16]. Above-elbow amputees with dominant-hand amputation using functional (body-powered) prostheses achieved the best functional outcomes [16].",Not mentioned in source.
"Introductory Chapter: Past, Present, and Future of Prostheses and Rehabilitation",2020,"A prosthesis is defined as ""…a device attached to the stump of an amputated body part due to traumatic or congenital conditions…"" [17]. The chapter emphasizes that upper limb prostheses are widely used because the hand and arm are vital for interaction and functioning in daily environments [17], and that prostheses are designed considering appearance, functional needs, and affordability [17].","The chapter classifies UL prostheses by amputation level and control mechanism [17]. Control-based typology includes body-powered, externally powered (including myoelectric), and hybrid systems [17]. Body-powered devices are driven by body movements [17]; externally powered devices use batteries and electric or myoelectric control signals [17]; hybrids combine both approaches to balance trade-offs like weight, cost, and cosmetics [17].","The chapter identifies multiple clinical factors affecting prosthesis use and outcomes: amputation laterality and level, time to fitting, prosthesis type, phantom-limb pain, psychological factors (self-efficacy, acceptance), cost, and adaptation time [17]. It reports high rejection/abandonment rates for UL prostheses (3–60%, often near 60%) and a correlation between higher-level amputations and greater rejection (e.g., 6% trans-radial vs 60% shoulder disarticulation) [17]. It cites evidence that level of amputation, loss of dominant hand, and time between amputation and fitting influence prosthetic use [17]. The chapter also notes rehabilitation approaches (exercises, exoskeletons, VR) to improve function [17].",Not mentioned in source.
Identifying successful outcomes and important factors to consider in upper limb amputation rehabilitation: an international web-based Delphi survey,2013,"The paper states that there is no definitive guidance on which outcomes should be measured in amputation rehabilitation and highlights that literature has focused primarily on the prosthesis rather than broader rehabilitation outcomes [18]. It frames purpose of prostheses within rehabilitation goals as one component among psychological, social and functional outcomes and reports identification of seven core rehabilitation domains relevant to ULA care [18].","The source discusses prostheses primarily in general terms (cost and functional potential) and notes differing views on cosmetic prostheses (some studies view cosmetic prosthesis use as unsuccessful) but does not provide a typology breakdown (passive/cosmetic, body-powered, myoelectric, hybrid). Therefore: Not addressed in this source except for brief commentary on cosmetic prostheses [18].","The paper provides detailed clinical-rehabilitation content: it reports consensus on seven domains and lists accepted items (54 items accepted across rehabilitation factors) to guide clinicians on important considerations for prescription and rehabilitation, emphasizes individualized goals, psychological and social factors, and suggests using domains to create screening tools for clinical assessment and outcome measurement [18].",Not mentioned in source.
Cross-sectional International Multicenter Study on Quality of Life and Reasons for Abandonment of Upper Limb Prostheses,2019,"The study frames upper limb prostheses in terms of their role for patients with upper limb deficiency, focusing on prosthesis use versus nonuse and impact on quality of life; it states that the study ""aimed to examine the reasons for prosthesis rejection and assess the quality of life (QOL) among patients with upper limb deficiency"" [19].",Not mentioned in source.,"The study reports clinical and functional findings: it included patients with upper limb absence from wrist to shoulder disarticulation [19]; found a prosthesis rejection rate of 9% with the most common reason for abandonment being lack of functionality [19]; showed prosthesis users had higher EQ-5D utility scores than nonusers (0.762 vs 0.628, P < 0.01) [19]; and observed that prosthesis users were more often employed than nonusers [19].",Not mentioned in source.
Outcome measures used in the evaluation of adult upper-limb prostheses - kinematic and functional aspects: A scoping review.,2025,Not mentioned in source.,The source states that electric/myoelectric prostheses were the most cited type in the reviewed literature [20].,"The source highlights that prosthesis abandonment is linked to functional and kinematic limitations and emphasizes the importance of usability evaluation to inform rehabilitation and device improvement [20]. It reports that most studies focused on clinical contexts, with transradial amputations predominant and electric/myoelectric devices most cited [20]. The review identified 101 assessment instruments (82 for functionality, 19 for kinematics) and notes that kinematic evaluation is scarce, recommending combined kinematic and functional assessments and development of instruments aimed at this population [20].",Not mentioned in source.
Development of upper limb prostheses: current progress and areas for growth.,2014,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Demystifying upper limb hybrid prostheses—a scoping review,2025,"Defines hybrid-power prostheses as a class combining body-power and external-power for upper limb replacement, distinguishing them from passive (cosmetic) devices [21]. Describes passive prostheses as static/cosmetic supports [21], body-powered prostheses as those that exploit user physical effort to control joints [21], and external-powered (myoelectric) prostheses as using external power, sensors (e.g., sEMG) and actuators to produce movement [21].","Classifies prostheses into passive, body-powered, external-powered (myoelectric) as three primary classes, plus hybrid-power and activity-specific subclasses [21]. Further refines 'hybrid' into five subcategories used in literature: hybrid-power (body-power + external-power), hybrid-control (multiple external inputs), hybrid-actuation, hybrid-strategy, and hybrid-feedback [21].","Reports that hybrid-power prostheses are mainly prescribed for above-elbow (transhumeral) amputees and are considered when single-class solutions fail or are unsuitable (e.g., limited strength or unreliable myoelectric control) [21]. Clinical evidence is limited: most data are case reports using patient feedback, with few high-quality comparative studies and heterogeneous outcome measures, highlighting need for standardized clinical testing and outcome measures [21].",Not mentioned in source.
Delivery of UK military upper limb prosthetics: current concepts and future directions,2023,Not mentioned in source.,Not mentioned in source.,"The source discusses clinical and functional challenges: upper limb prostheses must replicate strength, coordination and dexterity required for activities of daily living, necessitating biological–machine interfaces across nerve, muscle, bone and skin [22]. It highlights recent technological advances aimed at improving function, including osseointegration, targeted muscle reinnervation, implantable myoelectric sensors, peripheral nerve interfaces and pattern recognition [22]. The source also gives military epidemiology (333 amputees 2001–2019) and frames functional prostheses as enabling return to active duty with benefits for physical/mental health and employability [22].",Not mentioned in source.
[Management of upper limb deformities. Treatment concepts through the years].,2006,"Defines provision of upper limb prostheses as aids for patients with upper limb deficiencies that should be based on orthopaedic technology knowledge and individualized assessment of patient background and functional benefit [23]. Notes that bilateral congenital deficiency differs from amputation, implying different purposes and considerations for prosthesis provision [23].","Mentions myoelectric prostheses specifically and notes a trend toward their use and potential to improve acceptance; does not provide detailed classification of passive/cosmetic, body-powered, or hybrid types beyond this mention [23].",Discusses clinical considerations: assessment of level of limb loss and residual function affects prosthetic fitting success [23]; overuse of existing limbs can cause degenerative changes making prostheses necessary to maintain independence [23]; recognizes that individuals (especially with bilateral congenital deficiency) may not seek prostheses but should be offered them based on need [23].,Not mentioned in source.
Upper Extremity Prosthesis — What Is New in It?,2016,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
UPPER-LIMB PROSTHESES,2022,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
A Literature Review of Children's Use of and Satisfaction with Upper Limb Prostheses,2017,"This review defines upper limb difference as either congenital or acquired amputation in children and frames prostheses as devices used to assist with self-care, mobility, communication, leisure and productive activities for children with upper limb difference [24]. It also provides a brief functional definition of myoelectric prostheses as devices that use electromyographic signals to control prosthetic movement [24].","The source reports on multiple prosthesis types: passive (cosmetic) devices, body-powered devices, and myoelectric devices; it notes that many children use multiple devices depending on tasks (e.g., 44% passive, 41% body-powered, 41% multiple) [24]. It describes myoelectric devices' control mechanism and that they can provide both cosmetic appearance (cosmeses) and functional movement [24].","The review summarises clinical findings: prostheses are used for various activities but by a minority of children, and non-wearers can have similar or better functional ability than wearers [24]. It highlights task-specific utility: prostheses are more useful for particular activities (e.g., scissors, cycling) than for general use, so prescription should consider activity-specific needs and offer multiple device options [24]. Durability and technical reliability are important clinical concerns affecting use, especially for myoelectric devices in play/outdoor settings [24].",Not mentioned in source.
Prosthesis Options and Management in Upper Extremity Amputation,2023,"The source defines the purpose of upper limb prostheses as devices intended to restore functionality and enhance quality of life for individuals after amputation, addressing loss of ability to perform daily tasks and activities [25].","The source classifies prostheses into body-powered, myoelectric, and 'advanced' categories, and mentions passive (cosmetic) devices as appearance-focused [25]. It notes body-powered devices use cables/harnesses and are durable/affordable [25], while myoelectric systems use EMG control [25], and advanced technologies include neural interfaces and 3D printing [25].","The source discusses clinical considerations in that it is intended to guide surgeons on prosthesis options and to optimize surgical planning to maximize prosthesis use, implying attention to prescription and rehabilitation planning [25]. No specific details on functional outcomes, assessment measures, or rehabilitation protocols are provided in the available text.",Not mentioned in source.
[Problems and techniques of functional rehabilitation of upper limb stump].,1990,This source defines upper limb prostheses in the context of rehabilitation as devices applied to an amputated upper limb to restore function and enable participation in rehabilitative training; it emphasises the requirements for good application of a prosthesis [26].,"The source classifies prostheses into passive (cosmetic), body-powered (moved by the body), and externally operated (e.g., electrically/myoelectrically driven) types [26].","The source outlines clinical rehabilitation stages and considerations: preparatory maintenance of joint and muscle function, specific training using electromyography and electronic training devices to learn prosthesis control, and individual/group lab exercises; it also discusses problems and requirements for correct prosthesis application [26].",Not mentioned in source.
Prosthetics: Upper Limb,2019,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Upper Limb Prosthesis: A Functional Replacement for the Biological Limb?,2017,"The source defines the purpose of upper limb prostheses as devices that can dramatically improve an amputee's quality of life by restoring function after limb loss [27]. It frames the prosthesis objective as achieving a 'truly functional' replacement for the biological limb, noting this remains a major challenge [27].",Not mentioned in source.,"The source discusses clinical/functional considerations: it emphasizes significant functional impairment in ULAs for everyday activities [27], highlights specific needs of transhumeral amputees for elbow, wrist, and hand function [27], and states the paper aims to review current technologies and identify areas needing advancement (range of motion, sensory input, practicality) relevant to rehabilitation and prescription goals [27].",Not mentioned in source.
Long term results of early myoelectric prosthetic fitting : a prospective case-control study,2016,Not mentioned in source.,Not mentioned in source.,"This study addresses clinical considerations regarding early myoelectric prosthetic fitting in children with upper limb reduction deficiency, recommending early fitting to encourage motor learning and prosthetic integration [28]. Other detailed clinical outcomes, prescription protocols, or rehabilitation specifics are not available in the provided data [28].",Not mentioned in source.
Myoelectric Prostheses for Upper-limb Amputees,2013,Not mentioned in source.,States that myoelectric prostheses offer enhanced bimanual ability and proposes a hybrid typology combining a myoelectric hand with a body-powered active elbow joint [29].,Emphasizes that myoelectric prostheses are widely used clinically and that adequate rehabilitation is essential for efficient use; notes established programs for trans-radial/distal amputees but highlights a lack of established rehabilitation strategies for higher-level amputations and proposes hybrid solutions for such cases [29].,Not mentioned in source.
Prosthetic Devices and Methods,2006,"Defines limb prostheses as devices to replace missing anatomical limbs for increased function or cosmesis [30]. States upper-limb prostheses specifically serve reaching, grasping, holding, and positioning tasks [30]. Emphasizes prosthetist goal to maximize rehabilitation potential and minimize disability when fitting a prosthesis [30].","Provides general remark on technological advances but does not explicitly classify prostheses into passive/cosmetic, body-powered, myoelectric, or hybrid categories. The source does not present a typology list or detailed classification. [30]","Lists clinical considerations for prosthetic fabrication and prescription including level of amputation, residual limb condition, comorbidities, age, gender, activity level, rehabilitation goals, and vocational/avocational needs [30]. Notes selection of components should match functional potential (example given for lower-limb) [30]. Highlights control and interfacing as primary concerns for upper-limb prostheses [30].",Not mentioned in source.
Amputaes e Malformaes Congnitas do Membro Superior na Populao Peditrica - Reviso de 27 Anos,2009,Not mentioned in source.,Not mentioned in source.,"The source emphasises timing of prosthesis fitting in pediatric congenital upper limb deficiency, recommending fitting between 3–9 months to support psychological and motor development and reduce compensatory technique adoption; later fitting (2–5 years) has higher rejection rates [31]. It states that psychological and motor development stages should guide prosthesis and component prescription, and that correct timing, adequate rehabilitation, and family education are key to functional independence. It also notes the distinction between prosthesis function and actual use, and recommends discussing benefits and drawbacks prior to prescription and rehabilitation [31].",Not mentioned in source.
Perspective Of A Prm Specialist On Rehabilitation Of Persons Following Upper Limb Amputation,2011,Not mentioned in source.,Not mentioned in source.,"The source emphasizes rehabilitation goals: restoring independence in activities of daily living and social reintegration, noting the upper limb's complexity and loss of motor, sensory and expressive functions after amputation [32].",Not mentioned in source.
"Progressive Upper Limb Prosthetics Chris Lake , CPO , FAAOP * ,",,Not mentioned in source.,Not mentioned in source.,"The source discusses clinical and service-delivery considerations: the field is highly specialized and clinicians see very few upper limb cases annually, leading to limited practitioner experience and an 'upper extremity dilemma' where specialized care is needed despite a small patient base [33]. It notes that most amputations are distal to the wrist, which complicates assessment and treatment (quote supporting statement) [33].",Not mentioned in source.
Occupational Therapy: Training Postural Control For Functional Upper Limb Prosthesis Use,2011,Not mentioned in source.,Not mentioned in source.,"The source emphasizes rehabilitation-focused clinical considerations: the need for rehabilitation professionals to create optimal conditions for patient success and coordinated multidisciplinary team efforts centered on dynamic functional use of the prosthesis by the patient [34]. It also notes patients often retain intrinsic motivation for active participation following traumatic upper limb loss, which is relevant to rehabilitation engagement [34].",Not mentioned in source.
Chapter 3 Rehabilitation of the Injured Combatant Vol 1 Rehabilitation of the Upper Limb Amputee,2006,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
"Clinical development and use of AHA-PAD (Assisting Hand Assessment- Prosthetics, Amputations, Deficiencies)",2015,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Prosthesis Options and Management in Upper Extremity Amputation,2023,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Differences in Myoelectric and Body-Powered Upper-Limb Prostheses: Systematic Literature Review,2017,"This review defines the purpose of upper-limb prostheses as devices chosen to restore function and meet user needs regarding control, function, feedback, cosmesis, and to reduce rejection, emphasizing individualized prescription based on patient preferences and functional needs [35].","The source classifies primary typologies as body-powered and myoelectric systems, noting each offers distinct functions and trade-offs: body-powered devices excel in durability, maintenance, training time and sensory feedback, while myoelectric devices score better for cosmesis, phantom-limb pain reduction, and acceptance for light-intensity work [35].","The review addresses clinical considerations: it aims to inform evidence-based prescription and training, highlights conflicting/insufficient evidence about functional performance between device types, and recommends individualized prescription considering patient preferences, experience, and functional needs [35].",Not mentioned in source.
