modelo,perfil,material,ponto_medido,parametro_entrada,estado_parametro,entrada_mm,malha_mm,medicao_fisica_mm,numero_leituras,desvio_malha_peca_mm,desvio_percentual,ficheiro_malha,fonte_medicao
Paraglider Hand,teen_15,PETG,Palma: extensão total no eixo Z,palm_thickness_mm,contextual; não controla este eixo de forma independente,25.0,35.892,35.758,1,-0.134,-0.373,docs/print-validation/paraglider_hand/teen_15/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Paraglider Hand,adult_28,PLA,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,90.0,109.304,108.972,1,-0.332,-0.304,docs/print-validation/paraglider_hand/adult_28/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Paraglider Hand,adult_28,PLA,Palma: extensão total no eixo Y,palm_length_mm,contextual; não controla este eixo de forma independente,114.0,123.295,122.920,1,-0.375,-0.304,docs/print-validation/paraglider_hand/adult_28/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Paraglider Hand,adult_28,PLA,Palma: extensão total no eixo Z,palm_thickness_mm,contextual; não controla este eixo de forma independente,33.0,41.414,41.288,1,-0.126,-0.304,docs/print-validation/paraglider_hand/adult_28/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Paraglider Hand,adult_28,PETG,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,90.0,109.304,108.841,1,-0.463,-0.424,docs/print-validation/paraglider_hand/adult_28/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Paraglider Hand,adult_28,PETG,Palma: extensão total no eixo Y,palm_length_mm,contextual; não controla este eixo de forma independente,114.0,123.295,122.772,1,-0.523,-0.424,docs/print-validation/paraglider_hand/adult_28/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Paraglider Hand,adult_28,PETG,Palma: extensão total no eixo Z,palm_thickness_mm,contextual; não controla este eixo de forma independente,33.0,41.414,41.238,1,-0.176,-0.425,docs/print-validation/paraglider_hand/adult_28/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Paraglider Hand,elderly_70,PLA,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,84.0,102.017,101.690,1,-0.327,-0.321,docs/print-validation/paraglider_hand/elderly_70/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Paraglider Hand,elderly_70,PLA,Palma: extensão total no eixo Y,palm_length_mm,contextual; não controla este eixo de forma independente,140.0,115.075,114.707,1,-0.368,-0.320,docs/print-validation/paraglider_hand/elderly_70/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Paraglider Hand,elderly_70,PLA,Palma: extensão total no eixo Z,palm_thickness_mm,contextual; não controla este eixo de forma independente,32.0,38.653,38.529,1,-0.124,-0.321,docs/print-validation/paraglider_hand/elderly_70/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Paraglider Hand,elderly_70,PETG,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,84.0,102.017,101.593,1,-0.424,-0.416,docs/print-validation/paraglider_hand/elderly_70/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Paraglider Hand,elderly_70,PETG,Palma: extensão total no eixo Y,palm_length_mm,contextual; não controla este eixo de forma independente,140.0,115.075,114.597,1,-0.478,-0.415,docs/print-validation/paraglider_hand/elderly_70/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
Paraglider Hand,elderly_70,PETG,Palma: extensão total no eixo Z,palm_thickness_mm,contextual; não controla este eixo de forma independente,32.0,38.653,38.492,1,-0.161,-0.417,docs/print-validation/paraglider_hand/elderly_70/parts/palm.3mf,Registo dimensional das palmas em PLA e PETG
UnLimbited Phoenix,child_8,PLA,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,82.0,82.165,81.940,1,-0.225,-0.274,docs/print-validation/unlimbed_phoenix_hand/child_8/unlimbed_phoenix_hand_child_8_palm.3mf,Registo dimensional das palmas em PLA e PETG
UnLimbited Phoenix,child_8,PLA,Palma: extensão total no eixo Y,,sem parâmetro correspondente no perfil aplicado,,91.964,91.712,1,-0.252,-0.274,docs/print-validation/unlimbed_phoenix_hand/child_8/unlimbed_phoenix_hand_child_8_palm.3mf,Registo dimensional das palmas em PLA e PETG
UnLimbited Phoenix,child_8,PLA,Palma: extensão total no eixo Z,,sem parâmetro correspondente no perfil aplicado,,30.553,30.469,1,-0.084,-0.275,docs/print-validation/unlimbed_phoenix_hand/child_8/unlimbed_phoenix_hand_child_8_palm.3mf,Registo dimensional das palmas em PLA e PETG
UnLimbited Phoenix,child_8,PETG,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,82.0,82.165,81.839,1,-0.326,-0.397,docs/print-validation/unlimbed_phoenix_hand/child_8/unlimbed_phoenix_hand_child_8_palm.3mf,Registo dimensional das palmas em PLA e PETG
UnLimbited Phoenix,child_8,PETG,Palma: extensão total no eixo Y,,sem parâmetro correspondente no perfil aplicado,,91.964,91.599,1,-0.365,-0.397,docs/print-validation/unlimbed_phoenix_hand/child_8/unlimbed_phoenix_hand_child_8_palm.3mf,Registo dimensional das palmas em PLA e PETG
UnLimbited Phoenix,child_8,PETG,Palma: extensão total no eixo Z,,sem parâmetro correspondente no perfil aplicado,,30.553,30.432,1,-0.121,-0.396,docs/print-validation/unlimbed_phoenix_hand/child_8/unlimbed_phoenix_hand_child_8_palm.3mf,Registo dimensional das palmas em PLA e PETG
UnLimbited Phoenix,teen_15,PLA,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,88.0,88.177,87.908,1,-0.269,-0.305,docs/print-validation/unlimbed_phoenix_hand/teen_15/unlimbed_phoenix_hand_teen_15_palm.3mf,Registo dimensional das palmas em PLA e PETG
UnLimbited Phoenix,teen_15,PLA,Palma: extensão total no eixo Y,,sem parâmetro correspondente no perfil aplicado,,98.693,98.391,1,-0.302,-0.306,docs/print-validation/unlimbed_phoenix_hand/teen_15/unlimbed_phoenix_hand_teen_15_palm.3mf,Registo dimensional das palmas em PLA e PETG
UnLimbited Phoenix,teen_15,PLA,Palma: extensão total no eixo Z,,sem parâmetro correspondente no perfil aplicado,,32.789,32.688,1,-0.101,-0.308,docs/print-validation/unlimbed_phoenix_hand/teen_15/unlimbed_phoenix_hand_teen_15_palm.3mf,Registo dimensional das palmas em PLA e PETG
UnLimbited Phoenix,teen_15,PETG,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,88.0,88.177,87.807,1,-0.370,-0.420,docs/print-validation/unlimbed_phoenix_hand/teen_15/unlimbed_phoenix_hand_teen_15_palm.3mf,Registo dimensional das palmas em PLA e PETG
UnLimbited Phoenix,teen_15,PETG,Palma: extensão total no eixo Y,,sem parâmetro correspondente no perfil aplicado,,98.693,98.279,1,-0.414,-0.419,docs/print-validation/unlimbed_phoenix_hand/teen_15/unlimbed_phoenix_hand_teen_15_palm.3mf,Registo dimensional das palmas em PLA e PETG
UnLimbited Phoenix,teen_15,PETG,Palma: extensão total no eixo Z,,sem parâmetro correspondente no perfil aplicado,,32.789,32.651,1,-0.138,-0.421,docs/print-validation/unlimbed_phoenix_hand/teen_15/unlimbed_phoenix_hand_teen_15_palm.3mf,Registo dimensional das palmas em PLA e PETG
UnLimbited Phoenix,adult_28,PLA,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,90.0,90.181,89.914,1,-0.267,-0.296,docs/print-validation/unlimbed_phoenix_hand/adult_28/unlimbed_phoenix_hand_adult_28_palm.3mf,Registo dimensional das palmas em PLA e PETG
UnLimbited Phoenix,adult_28,PLA,Palma: extensão total no eixo Y,,sem parâmetro correspondente no perfil aplicado,,100.936,100.637,1,-0.299,-0.296,docs/print-validation/unlimbed_phoenix_hand/adult_28/unlimbed_phoenix_hand_adult_28_palm.3mf,Registo dimensional das palmas em PLA e PETG
UnLimbited Phoenix,adult_28,PLA,Palma: extensão total no eixo Z,,sem parâmetro correspondente no perfil aplicado,,33.534,33.434,1,-0.100,-0.298,docs/print-validation/unlimbed_phoenix_hand/adult_28/unlimbed_phoenix_hand_adult_28_palm.3mf,Registo dimensional das palmas em PLA e PETG
UnLimbited Phoenix,adult_28,PETG,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,90.0,90.181,89.832,1,-0.349,-0.387,docs/print-validation/unlimbed_phoenix_hand/adult_28/unlimbed_phoenix_hand_adult_28_palm.3mf,Registo dimensional das palmas em PLA e PETG
UnLimbited Phoenix,adult_28,PETG,Palma: extensão total no eixo Y,,sem parâmetro correspondente no perfil aplicado,,100.936,100.545,1,-0.391,-0.387,docs/print-validation/unlimbed_phoenix_hand/adult_28/unlimbed_phoenix_hand_adult_28_palm.3mf,Registo dimensional das palmas em PLA e PETG
UnLimbited Phoenix,adult_28,PETG,Palma: extensão total no eixo Z,,sem parâmetro correspondente no perfil aplicado,,33.534,33.404,1,-0.130,-0.388,docs/print-validation/unlimbed_phoenix_hand/adult_28/unlimbed_phoenix_hand_adult_28_palm.3mf,Registo dimensional das palmas em PLA e PETG
UnLimbited Phoenix,elderly_70,PLA,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,84.0,84.169,83.929,1,-0.240,-0.285,docs/print-validation/unlimbed_phoenix_hand/elderly_70/unlimbed_phoenix_hand_elderly_70_palm.3mf,Registo dimensional das palmas em PLA e PETG
UnLimbited Phoenix,elderly_70,PLA,Palma: extensão total no eixo Y,,sem parâmetro correspondente no perfil aplicado,,94.207,93.939,1,-0.268,-0.284,docs/print-validation/unlimbed_phoenix_hand/elderly_70/unlimbed_phoenix_hand_elderly_70_palm.3mf,Registo dimensional das palmas em PLA e PETG
UnLimbited Phoenix,elderly_70,PLA,Palma: extensão total no eixo Z,,sem parâmetro correspondente no perfil aplicado,,31.298,31.209,1,-0.089,-0.284,docs/print-validation/unlimbed_phoenix_hand/elderly_70/unlimbed_phoenix_hand_elderly_70_palm.3mf,Registo dimensional das palmas em PLA e PETG
UnLimbited Phoenix,elderly_70,PETG,Palma: extensão total no eixo X,palm_breadth_mm,activo na transformação geométrica,84.0,84.169,83.831,1,-0.338,-0.402,docs/print-validation/unlimbed_phoenix_hand/elderly_70/unlimbed_phoenix_hand_elderly_70_palm.3mf,Registo dimensional das palmas em PLA e PETG
UnLimbited Phoenix,elderly_70,PETG,Palma: extensão total no eixo Y,,sem parâmetro correspondente no perfil aplicado,,94.207,93.829,1,-0.378,-0.401,docs/print-validation/unlimbed_phoenix_hand/elderly_70/unlimbed_phoenix_hand_elderly_70_palm.3mf,Registo dimensional das palmas em PLA e PETG
UnLimbited Phoenix,elderly_70,PETG,Palma: extensão total no eixo Z,,sem parâmetro correspondente no perfil aplicado,,31.298,31.173,1,-0.125,-0.399,docs/print-validation/unlimbed_phoenix_hand/elderly_70/unlimbed_phoenix_hand_elderly_70_palm.3mf,Registo dimensional das palmas em PLA e PETG
