suplemento,caminho_entrega,ficheiro_origem,descricao,tamanho_bytes
S2,02_avaliacao_plataforma/avaliacao_ia_antropometrica/ucd-ai-sim/ucd-ai-sizing-evaluation_2026-06-29.md,ai-parametric-prosthetic-hand-generator/docs/ucd-ai-sim/ucd-ai-sizing-evaluation_2026-06-29.md,"Pedido, metadados ou resultado da avaliação antropométrica por IA",9912
S2,02_avaliacao_plataforma/descricao_do_suplemento_2.md,gerado para o pacote de entrega,Índice e limite de interpretação da avaliação técnica,878
S2,02_avaliacao_plataforma/evidencias/acessibilidade/metadados_local.json,sources/manuscript/annexes/testes_plataforma/evidencias/2026-07-14_00-03-19_a11y-local/metadados.json,ANNEX-B-009 — metadados da avaliação automática local,1655
S2,02_avaliacao_plataforma/evidencias/acessibilidade/metadados_publico.json,sources/manuscript/annexes/testes_plataforma/evidencias/2026-07-14_00-06-48_a11y-public/metadados.json,ANNEX-B-012 — metadados da avaliação automática pública,1469
S2,02_avaliacao_plataforma/evidencias/acessibilidade/resultados_automaticos_local.json,sources/manuscript/annexes/testes_plataforma/evidencias/2026-07-14_00-03-19_a11y-local/results/a11y-local-summary.json,ANNEX-B-010 — síntese automática local,1181
S2,02_avaliacao_plataforma/evidencias/acessibilidade/resultados_automaticos_publico.json,sources/manuscript/annexes/testes_plataforma/evidencias/2026-07-14_00-06-48_a11y-public/results/a11y-public.json,ANNEX-B-013 — síntese automática da página pública,489
S2,02_avaliacao_plataforma/evidencias/acessibilidade/verificacao_manual_wcag_2_2.docx,sources/manuscript/annexes/testes_plataforma/evidencias/lista_verificacao_manual_acessibilidade_wcag_2_2.docx,ANNEX-B-015 — representação DOCX da avaliação manual,11576
S2,02_avaliacao_plataforma/evidencias/acessibilidade/verificacao_manual_wcag_2_2.md,sources/manuscript/annexes/testes_plataforma/evidencias/lista_verificacao_manual_acessibilidade_wcag_2_2.md,ANNEX-B-014 — resultado editável da avaliação manual,7566
S2,02_avaliacao_plataforma/evidencias/repeticao/REP-DET-001.json,sources/manuscript/annexes/testes_plataforma/evidencias/2026-07-13_23-22-21_repetition/results/REP-DET-001.json,ANNEX-B-002 — repetição Flexy Beast,13152
S2,02_avaliacao_plataforma/evidencias/repeticao/REP-DET-002.json,sources/manuscript/annexes/testes_plataforma/evidencias/2026-07-13_23-22-21_repetition/results/REP-DET-002.json,ANNEX-B-003 — repetição Paraglider Hand,11469
S2,02_avaliacao_plataforma/evidencias/repeticao/REP-DET-003.json,sources/manuscript/annexes/testes_plataforma/evidencias/2026-07-13_23-22-21_repetition/results/REP-DET-003.json,ANNEX-B-004 — repetição UnLimbited Phoenix,10358
S2,02_avaliacao_plataforma/evidencias/repeticao/comparacao_navegadores.json,sources/manuscript/annexes/testes_plataforma/evidencias/2026-07-13_23-22-21_repetition/results/xbr-comparison.json,ANNEX-B-005 — comparação entre navegadores,411
S2,02_avaliacao_plataforma/evidencias/repeticao/metadados.json,sources/manuscript/annexes/testes_plataforma/evidencias/2026-07-13_23-22-21_repetition/metadados.json,"ANNEX-B-001 — metadados, datas, comandos e identificadores da repetição",2300
S2,02_avaliacao_plataforma/evidencias/robustez/metadados.json,sources/manuscript/annexes/testes_plataforma/evidencias/2026-07-14_00-02-40_robustness/metadados.json,"ANNEX-B-006 — metadados, comando e identificadores da robustez",1794
S2,02_avaliacao_plataforma/evidencias/robustez/resultados_api.json,sources/manuscript/annexes/testes_plataforma/evidencias/2026-07-14_00-02-40_robustness/results/robustness-api.json,ANNEX-B-007 — resultados dos pedidos directos,2613
S2,02_avaliacao_plataforma/evidencias/robustez/resultados_interface.json,sources/manuscript/annexes/testes_plataforma/evidencias/2026-07-14_00-02-40_robustness/results/robustness-ui.json,ANNEX-B-008 — resultados de recuperação na interface,1447
S2,02_avaliacao_plataforma/matriz_casos_teste.csv,sources/manuscript/annexes/testes_plataforma/matriz_casos_teste.csv,Matriz dos casos e critérios de ensaio,8917
S2,02_avaliacao_plataforma/protocolo_geral.md,sources/manuscript/annexes/testes_plataforma/protocolo_geral_avaliacao_plataforma.md,Protocolo geral da avaliação técnica,11168
S3,03_parametrizacao_percurso/descricao_do_suplemento_3.md,gerado para o pacote de entrega,Índice e limite de interpretação do percurso paramétrico,521
S3,03_parametrizacao_percurso/dicionario_parametros.csv,sources/manuscript/annexes/dicionario_parametros_v14.67.0/parameter_dictionary.csv,Dicionário integral dos 42 parâmetros numéricos,9448
S3,03_parametrizacao_percurso/percurso_flexy_beast_8_anos/middle_base.3mf,sources/manuscript/annexes/dicionario_parametros_v14.67.0/example_flexy_beast_child_8/middle_base.3mf,Malha 3MF do segmento proximal do dedo médio,14032
S3,03_parametrizacao_percurso/percurso_flexy_beast_8_anos/middle_tip.3mf,sources/manuscript/annexes/dicionario_parametros_v14.67.0/example_flexy_beast_child_8/middle_tip.3mf,Malha 3MF do segmento distal do dedo médio,19266
S3,03_parametrizacao_percurso/percurso_flexy_beast_8_anos/palm.3mf,sources/manuscript/annexes/dicionario_parametros_v14.67.0/example_flexy_beast_child_8/palm.3mf,Malha 3MF da palma,154065
S3,03_parametrizacao_percurso/percurso_flexy_beast_8_anos/params.json,sources/manuscript/annexes/dicionario_parametros_v14.67.0/example_flexy_beast_child_8/params.json,Perfil de ensaio e parâmetros aplicados,549
S3,03_parametrizacao_percurso/percurso_flexy_beast_8_anos/trace.json,sources/manuscript/annexes/dicionario_parametros_v14.67.0/example_flexy_beast_child_8/trace.json,"Limites, cálculos, métricas e resumos de integridade",3741
S4,04_preparacao_impressao_prototipos/descricao_do_suplemento_4.md,gerado para o pacote de entrega,Índice e limite de interpretação da preparação e dos protótipos,934
S4,04_preparacao_impressao_prototipos/fotografias_originais/teste-impressao-08214702.jpg,figuras/teste-impressao-08214702.jpg,Fotografia original dos protótipos e componentes produzidos,8329491
S4,04_preparacao_impressao_prototipos/fotografias_originais/teste-impressao-08214912.jpg,figuras/teste-impressao-08214912.jpg,Fotografia original dos protótipos e componentes produzidos,8227487
S4,04_preparacao_impressao_prototipos/fotografias_originais/teste-impressao-09201338.jpg,figuras/teste-impressao-09201338.jpg,Fotografia original dos protótipos e componentes produzidos,6420848
S4,04_preparacao_impressao_prototipos/fotografias_originais/teste-impressao-09201340.jpg,figuras/teste-impressao-09201340.jpg,Fotografia original dos protótipos e componentes produzidos,8335683
S4,04_preparacao_impressao_prototipos/fotografias_originais/teste-impressao-09201343.jpg,figuras/teste-impressao-09201343.jpg,Fotografia original dos protótipos e componentes produzidos,6320820
S4,04_preparacao_impressao_prototipos/fotografias_originais/teste-impressao-12185320.jpg,figuras/teste-impressao-12185320.jpg,Fotografia original dos protótipos e componentes produzidos,10561630
S4,04_preparacao_impressao_prototipos/fotografias_originais/teste-impressao-12185529.jpg,figuras/teste-impressao-12185529.jpg,Fotografia original dos protótipos e componentes produzidos,8757188
S4,04_preparacao_impressao_prototipos/fotografias_originais/teste-impressao-12185532.jpg,figuras/teste-impressao-12185532.jpg,Fotografia original dos protótipos e componentes produzidos,8780315
S4,04_preparacao_impressao_prototipos/fotografias_originais/teste-impressao-3d-dedos-flexy-beast.jpeg,figuras/teste-impressao-3d-dedos-flexy-beast.jpeg,Fotografia original dos protótipos e componentes produzidos,189870
S4,04_preparacao_impressao_prototipos/fotografias_originais/teste-impressao-dedos-flexy-beast-v1.jpeg,figuras/teste-impressao-dedos-flexy-beast-v1.jpeg,Fotografia original dos protótipos e componentes produzidos,678711
S4,04_preparacao_impressao_prototipos/fotografias_originais/teste-impressao-dedos-flexy-beast-v2.jpeg,figuras/teste-impressao-dedos-flexy-beast-v2.jpeg,Fotografia original dos protótipos e componentes produzidos,685739
S4,04_preparacao_impressao_prototipos/fotografias_originais/teste-impressao-dedos-paraglider-hand-v1.jpeg,figuras/teste-impressao-dedos-paraglider-hand-v1.jpeg,Fotografia original dos protótipos e componentes produzidos,985704
S4,04_preparacao_impressao_prototipos/fotografias_originais/teste-impressao-phoenix-15-anos-13221108.jpg,figuras/teste-impressao-phoenix-15-anos-13221108.jpg,Fotografia original dos protótipos e componentes produzidos,8136478
S4,04_preparacao_impressao_prototipos/fotografias_originais/teste-impressao-phoenix-15-anos-13221111.jpg,figuras/teste-impressao-phoenix-15-anos-13221111.jpg,Fotografia original dos protótipos e componentes produzidos,7350482
S4,04_preparacao_impressao_prototipos/fotografias_originais/teste-impressao-phoenix-15-anos-13221117.jpg,figuras/teste-impressao-phoenix-15-anos-13221117.jpg,Fotografia original dos protótipos e componentes produzidos,8132205
S4,04_preparacao_impressao_prototipos/fotografias_originais/teste-impressao-phoenix-15-anos-13221145.jpg,figuras/teste-impressao-phoenix-15-anos-13221145.jpg,Fotografia original dos protótipos e componentes produzidos,8046297
S4,04_preparacao_impressao_prototipos/fotografias_originais/teste-impressao-phoenix-15anos-0008.jpeg,figuras/teste-impressao-phoenix-15anos-0008.jpeg,Fotografia original dos protótipos e componentes produzidos,1703148
S4,04_preparacao_impressao_prototipos/fotografias_originais/teste-impressao-phoenix-15anos-0010.jpeg,figuras/teste-impressao-phoenix-15anos-0010.jpeg,Fotografia original dos protótipos e componentes produzidos,1569795
S4,04_preparacao_impressao_prototipos/fotografias_originais/teste-impressao-phoenix-15anos-0012.jpeg,figuras/teste-impressao-phoenix-15anos-0012.jpeg,Fotografia original dos protótipos e componentes produzidos,1696811
S4,04_preparacao_impressao_prototipos/projectos_preparacao/flexy_beast_teen_15_print.3mf,ai-parametric-prosthetic-hand-generator/docs/print-validation/flexy_beast_teen_15_print.3mf,"Projeto Flexy Beast, perfil de 15 anos, PLA",186564
S4,04_preparacao_impressao_prototipos/projectos_preparacao/paraglider_15_teen_prusa_print_profile.3mf,ai-parametric-prosthetic-hand-generator/docs/print-validation/paraglider_15_teen_prusa_print_profile.3mf,"Projeto Paraglider Hand, perfil de 15 anos, PLA",252056
S4,04_preparacao_impressao_prototipos/projectos_preparacao/unlimbed_phoenix_hand_teen_15_print_project.3mf,ai-parametric-prosthetic-hand-generator/docs/print-validation/unlimbed_phoenix_hand_teen_15_print_project.3mf,"Projeto UnLimbited Phoenix, perfil de 15 anos, PLA",1151106
S4,04_preparacao_impressao_prototipos/projectos_preparacao/unlimbed_phoenix_hand_teen_15_print_project_PETG.3mf,ai-parametric-prosthetic-hand-generator/docs/print-validation/unlimbed_phoenix_hand_teen_15_print_project_PETG.3mf,"Projeto UnLimbited Phoenix, perfil de 15 anos, PETG",1162153
S4,04_preparacao_impressao_prototipos/registos/comparacao_dimensional_72_medicoes.csv,sources/manuscript/annexes/testes_preparacao_impressao/tabela_comparacao_dimensional.csv,Comparação entre malha e peça nos três eixos e dois materiais,19551
S4,04_preparacao_impressao_prototipos/registos/compatibilidade_dimensionamento.md,sources/manuscript/annexes/testes_preparacao_impressao/avaliacao_compatibilidade_dimensionamento.md,Nota técnica de compatibilidade com orientações de dimensionamento,4522
S4,04_preparacao_impressao_prototipos/registos/montagem_phoenix_15_anos.csv,sources/manuscript/annexes/testes_preparacao_impressao/folha_montagem_articulacao.csv,Observação preenchida da montagem da Phoenix; linhas vazias omitidas,976
S4,04_preparacao_impressao_prototipos/registos/protocolo_medicao_dimensional.md,sources/manuscript/annexes/testes_preparacao_impressao/protocolo_medicao_dimensional_fisica.md,Protocolo e referencial da medição dimensional,3735
S4,04_preparacao_impressao_prototipos/registos/protocolo_montagem_articulacao.md,sources/manuscript/annexes/testes_preparacao_impressao/protocolo_montagem_articulacao.md,Protocolo de montagem e articulação em bancada,2149
S4,04_preparacao_impressao_prototipos/registos/resultados_geometria.csv,sources/manuscript/annexes/testes_preparacao_impressao/resultados_geometria.csv,"Registo geométrico das montagens, palmas e placas",4312
S4,04_preparacao_impressao_prototipos/registos/resultados_serie_a.csv,sources/manuscript/annexes/testes_preparacao_impressao/resultados_projectos_arquivados.csv,Resultados completos dos quatro projetos da Série A,2089
S4,04_preparacao_impressao_prototipos/registos/resultados_serie_b.csv,sources/manuscript/annexes/testes_preparacao_impressao/resultados_campanha_controlada.csv,Resultados completos dos doze casos da Série B,3499
GERAL,guia_dos_suplementos.md,gerado para o pacote de entrega,Índice geral e critério de selecção do pacote,1937
